Date,High,Low,Open,Close,Volume,Adj Close
1993-01-26,68.0,59.0,67.0,60.0,35700.0,60.0
1993-01-27,61.5,56.0,59.5,56.0,29000.0,56.0
1993-01-28,61.0,54.0,54.5,61.0,35600.0,61.0
1993-01-29,64.0,61.0,62.5,62.0,5700.0,62.0
1993-02-01,66.0,63.0,65.0,63.5,9000.0,63.5
1993-02-02,65.5,61.0,63.5,64.0,5000.0,64.0
1993-02-03,64.0,59.0,64.0,61.5,14100.0,61.5
1993-02-04,61.0,56.5,58.5,58.5,12500.0,58.5
1993-02-05,60.0,53.5,58.5,55.0,17500.0,55.0
1993-02-08,61.0,56.0,56.0,60.0,12700.0,60.0
1993-02-09,59.0,56.0,59.0,58.0,8400.0,58.0
1993-02-10,59.0,56.5,56.5,57.5,6400.0,57.5
1993-02-11,57.5,54.5,56.0,56.0,3800.0,56.0
1993-02-12,58.5,56.0,57.0,58.0,4500.0,58.0
1993-02-16,57.5,53.5,56.0,54.5,12900.0,54.5
1993-02-17,54.5,51.0,53.0,52.5,13100.0,52.5
1993-02-18,54.0,50.5,52.5,53.0,11300.0,53.0
1993-02-19,54.0,52.0,52.0,54.0,2700.0,54.0
1993-02-22,54.0,49.0,54.0,49.0,21900.0,49.0
1993-02-23,47.5,42.0,46.5,47.0,31500.0,47.0
1993-02-24,52.5,47.5,48.5,52.5,15600.0,52.5
1993-02-25,54.0,52.0,52.0,54.0,10900.0,54.0
1993-02-26,56.0,53.5,55.0,56.0,9800.0,56.0
1993-03-01,57.0,54.0,57.0,54.5,12100.0,54.5
1993-03-02,54.5,51.0,54.5,54.0,3700.0,54.0
1993-03-03,55.0,52.5,54.5,54.0,8700.0,54.0
1993-03-04,53.5,51.0,53.5,51.5,3400.0,51.5
1993-03-05,52.5,52.0,52.0,52.0,900.0,52.0
1993-03-08,54.0,52.0,54.0,54.0,14100.0,54.0
1993-03-09,54.5,52.0,54.5,53.0,3700.0,53.0
1993-03-10,54.0,52.0,54.0,53.5,4900.0,53.5
1993-03-11,54.5,52.5,52.5,53.5,3800.0,53.5
1993-03-12,54.5,53.0,53.0,54.0,3100.0,54.0
1993-03-15,54.0,52.0,53.0,52.0,2700.0,52.0
