Date,High,Low,Open,Close,Volume,Adj Close
1996-06-07,12.25,11.75,12.0,11.75,987100,11.75
1996-06-10,11.875,11.75,11.75,11.75,156700,11.75
1996-06-11,12.125,11.75,11.75,11.75,140700,11.75
1996-06-12,12.125,11.75,11.75,11.75,247100,11.75
1996-06-13,12.125,11.75,11.75,11.9375,139800,11.9375
1996-06-14,12.125,11.75,11.75,12.0,156000,12.0
1996-06-17,12.125,11.75,11.75,11.75,19400,11.75
1996-06-18,12.125,11.75,12.125,11.75,108400,11.75
1996-06-19,12.125,11.625,11.75,11.625,10700,11.625
1996-06-20,12.125,9.5,11.625,9.5,120400,9.5
1996-06-21,9.375,7.5,9.375,8.75,211800,8.75
1996-06-24,9.125,8.375,8.875,8.375,47100,8.375
1996-06-25,9.0,6.875,8.75,7.0,159500,7.0
1996-06-26,8.25,7.125,7.125,7.75,47300,7.75
1996-06-27,8.25,7.625,8.125,7.75,264500,7.75
1996-06-28,8.125,7.75,8.125,8.0625,300400,8.0625
1996-07-01,8.875,7.75,7.75,8.875,21500,8.875
1996-07-02,10.25,9.25,9.25,10.0,56700,10.0
1996-07-03,10.75,9.5,10.75,10.25,201200,10.25
1996-07-05,10.25,9.5,10.25,9.5,5300,9.5
1996-07-08,10.25,9.5,9.5,9.5,47000,9.5
1996-07-09,10.25,8.5,9.75,8.5,48100,8.5
1996-07-10,8.75,7.375,8.375,7.75,136700,7.75
1996-07-11,8.0,7.25,7.625,7.25,231500,7.25
1996-07-12,7.375,7.0,7.0,7.0,4400,7.0
1996-07-15,7.375,5.0,7.125,5.75,108900,5.75
1996-07-16,6.5,5.875,6.5,5.875,120700,5.875
1996-07-17,7.25,6.0,6.5,6.875,302100,6.875
1996-07-18,7.5,7.0,7.25,7.375,57600,7.375
1996-07-19,7.75,7.375,7.375,7.5,17900,7.5
1996-07-22,7.75,7.375,7.375,7.75,2000,7.75
1996-07-23,7.75,7.375,7.375,7.375,8100,7.375
1996-07-24,7.5625,5.75,7.0,6.5,100100,6.5
1996-07-25,6.75,6.484300136566162,6.75,6.484300136566162,15300,6.484300136566162
1996-07-26,6.75,6.375,6.375,6.75,900,6.75
1996-07-29,7.0,6.5,6.75,7.0,22600,7.0
1996-07-30,7.625,6.75,6.875,7.25,41800,7.25
1996-07-31,7.625,7.25,7.375,7.25,27000,7.25
1996-08-01,7.625,7.25,7.25,7.25,21800,7.25
1996-08-02,7.75,7.5,7.625,7.5,8100,7.5
1996-08-05,7.75,7.25,7.25,7.75,1200,7.75
1996-08-06,7.875,7.25,7.75,7.75,16700,7.75
1996-08-07,8.0,7.75,8.0,8.0,6600,8.0
1996-08-08,8.5,7.75,7.75,8.5,24700,8.5
1996-08-09,9.25,8.125,8.125,8.875,62400,8.875
1996-08-12,8.75,8.75,8.75,8.75,1000,8.75
1996-08-13,9.0,8.0,8.75,8.0,12200,8.0
1996-08-14,8.75,8.0,8.0,8.0,6400,8.0
1996-08-15,8.75,8.0,8.75,8.0,5200,8.0
1996-08-16,8.25,8.0,8.25,8.125,10300,8.125
1996-08-19,8.75,7.8125,8.5,7.8125,46500,7.8125
1996-08-20,7.75,7.5,7.75,7.5,10300,7.5
1996-08-21,8.0,7.25,8.0,7.25,1900,7.25
1996-08-22,8.0,7.25,7.375,7.25,41500,7.25
1996-08-23,8.0,7.25,8.0,8.0,42800,8.0
1996-08-26,8.125,7.375,7.5,8.125,26300,8.125
1996-08-27,9.0,7.375,7.375,9.0,14800,9.0
1996-08-28,9.375,8.25,9.25,8.25,21800,8.25
1996-08-29,8.5,8.25,8.5,8.25,5500,8.25
1996-08-30,8.0,8.0,8.0,8.0,600,8.0
