Date,High,Low,Open,Close,Volume,Adj Close
1986-12-17,28.5,24.0,24.0,24.0,700.0,7.708164215087891
1986-12-18,28.5,24.0,24.0,24.0,300.0,7.708164215087891
1986-12-19,24.0,24.0,24.0,24.0,0.0,7.708164215087891
1986-12-22,24.0,24.0,24.0,24.0,0.0,7.708164215087891
1986-12-23,28.5,24.0,24.0,24.0,1000.0,7.708164215087891
1986-12-24,28.5,24.0,24.0,24.0,200.0,7.708164215087891
1986-12-26,24.0,24.0,24.0,24.0,0.0,7.708164215087891
1986-12-29,24.0,24.0,24.0,24.0,0.0,7.708164215087891
1986-12-30,28.5,24.0,24.0,24.0,300.0,7.708164215087891
1986-12-31,28.5,24.0,24.0,24.0,100.0,7.708164215087891
1987-01-02,24.0,24.0,24.0,24.0,0.0,7.708164215087891
1987-01-05,28.5,24.0,24.0,24.0,300.0,7.708164215087891
1987-01-06,28.5,24.0,24.0,24.0,600.0,7.708164215087891
1987-01-07,28.5,24.0,24.0,24.0,300.0,7.708164215087891
1987-01-08,28.5,24.0,24.0,24.0,2400.0,7.708164215087891
1987-01-09,28.5,24.0,24.0,24.0,400.0,7.708164215087891
1987-01-12,28.5,24.0,24.0,24.0,2200.0,7.708164215087891
1987-01-13,28.5,24.0,24.0,24.0,400.0,7.708164215087891
1987-01-14,28.5,24.0,24.0,24.0,600.0,7.708164215087891
1987-01-15,28.5,24.0,24.0,24.0,0.0,7.708164215087891
1987-01-16,28.5,24.0,24.0,24.0,500.0,7.708164215087891
1987-01-19,27.75,24.0,24.0,24.0,0.0,7.708164215087891
1987-01-20,27.75,24.0,24.0,24.0,1000.0,7.708164215087891
1987-01-21,27.75,24.0,24.0,24.0,100.0,7.708164215087891
1987-01-22,27.75,24.0,24.0,24.0,200.0,7.708164215087891
1987-01-23,27.75,24.0,24.0,24.0,200.0,7.708164215087891
1987-01-26,24.0,24.0,24.0,24.0,0.0,7.708164215087891
1987-01-27,24.0,24.0,24.0,24.0,0.0,7.759907245635986
1987-01-28,24.0,24.0,24.0,24.0,0.0,7.759907245635986
1987-01-29,24.0,24.0,24.0,24.0,0.0,7.759907245635986
1987-01-30,24.0,24.0,24.0,24.0,0.0,7.759907245635986
1987-02-02,24.0,24.0,24.0,24.0,0.0,7.759907245635986
1987-02-03,28.5,24.0,24.0,24.0,100.0,7.759907245635986
1987-02-04,24.0,24.0,24.0,24.0,0.0,7.759907245635986
1987-02-05,28.5,24.0,24.0,24.0,100.0,7.759907245635986
1987-02-06,28.5,24.0,24.0,24.0,600.0,7.759907245635986
1987-02-09,28.5,24.0,24.0,24.0,0.0,7.759907245635986
1987-02-10,28.5,24.0,24.0,24.0,100.0,7.759907245635986
1987-02-11,24.0,24.0,24.0,24.0,0.0,7.759907245635986
1987-02-12,28.5,24.0,24.0,24.0,200.0,7.759907245635986
1987-02-13,28.5,24.0,24.0,24.0,100.0,7.759907245635986
1987-02-17,24.0,24.0,24.0,24.0,0.0,7.759907245635986
1987-02-18,24.0,24.0,24.0,24.0,0.0,7.759907245635986
1987-02-19,24.0,24.0,24.0,24.0,0.0,7.759907245635986
1987-02-20,28.5,24.0,24.0,24.0,500.0,7.759907245635986
1987-02-23,24.0,24.0,24.0,24.0,0.0,7.759907245635986
1987-02-24,24.0,24.0,24.0,24.0,0.0,7.759907245635986
1987-02-25,29.25,25.5,25.5,25.5,100.0,8.24489688873291
1987-02-26,30.0,25.5,25.5,25.5,700.0,8.24489688873291
1987-02-27,25.5,25.5,25.5,25.5,0.0,8.24489688873291
1987-03-02,30.75,26.25,26.25,26.25,200.0,8.487393379211426
1987-03-03,28.5,26.25,26.25,26.25,1400.0,8.487393379211426
1987-03-04,26.25,26.25,26.25,26.25,0.0,8.487393379211426
1987-03-05,28.5,24.75,26.25,24.75,300.0,8.002401351928711
1987-03-06,28.5,24.75,24.75,24.75,0.0,8.002401351928711
1987-03-09,28.5,24.75,24.75,24.75,100.0,8.002401351928711
1987-03-10,28.5,24.75,24.75,24.75,200.0,8.002401351928711
1987-03-11,24.75,24.75,24.75,24.75,0.0,8.002401351928711
1987-03-12,24.75,24.75,24.75,24.75,0.0,8.002401351928711
1987-03-13,24.75,24.75,24.75,24.75,0.0,8.002401351928711
1987-03-16,24.75,24.75,24.75,24.75,0.0,8.002401351928711
1987-03-17,24.75,24.75,24.75,24.75,0.0,8.002401351928711
1987-03-18,28.5,24.75,24.75,24.75,0.0,8.002401351928711
1987-03-19,28.5,24.75,24.75,24.75,700.0,8.002401351928711
1987-03-20,28.5,24.75,24.75,24.75,300.0,8.002401351928711
1987-03-23,28.5,24.75,24.75,24.75,400.0,8.002401351928711
1987-03-24,28.5,24.75,24.75,24.75,500.0,8.002401351928711
1987-03-25,28.5,24.75,24.75,24.75,100.0,8.002401351928711
1987-03-26,24.75,24.75,24.75,24.75,0.0,8.002401351928711
1987-03-27,28.5,24.75,24.75,24.75,300.0,8.002401351928711
1987-03-30,24.75,24.75,24.75,24.75,0.0,8.002401351928711
1987-03-31,24.75,24.75,24.75,24.75,0.0,8.002401351928711
1987-04-01,28.5,24.75,24.75,24.75,300.0,8.002401351928711
1987-04-02,28.5,24.75,24.75,24.75,100.0,8.002401351928711
