Date,High,Low,Open,Close,Volume,Adj Close
2000-07-25,17.75,16.75,17.4843807220459,17.5,126200.0,16.493139266967773
2000-07-26,17.5625,17.1875,17.25,17.5,28900.0,16.493139266967773
2000-07-27,17.625,17.375,17.5,17.5,61200.0,16.493139266967773
2000-07-28,17.5625,17.125,17.5625,17.375,146100.0,16.375329971313477
2000-07-31,17.6875,16.875,17.5,17.6875,178400.0,16.669851303100586
2000-08-01,18.4375,17.25,17.5625,17.5,87400.0,16.493139266967773
2000-08-02,18.0,17.6875,17.75,17.6875,34800.0,16.669851303100586
2000-08-03,17.6718807220459,17.25,17.625,17.375,60800.0,16.375329971313477
2000-08-04,17.5,17.25,17.375,17.25,48600.0,16.257518768310547
2000-08-07,17.4375,17.0625,17.25,17.25,52500.0,16.257518768310547
2000-08-08,17.5625,17.125,17.125,17.25,107500.0,16.257518768310547
2000-08-09,17.4375,16.75,17.3125,16.9375,147500.0,15.96299934387207
2000-08-10,17.125,16.375,16.8125,16.375,184700.0,15.432863235473633
2000-08-11,16.5625,15.75,16.5625,16.0,312500.0,15.079438209533691
2000-08-14,16.0,15.5625,15.9375,15.5625,117300.0,14.667109489440918
2000-08-15,15.5625,15.1875,15.5625,15.375,242800.0,14.490397453308105
2000-08-16,15.25,13.625,15.25,14.375,288500.0,13.547933578491211
2000-08-17,15.875,14.5,14.5,15.5,488900.0,14.608206748962402
2000-08-18,15.4375,15.0625,15.4375,15.25,183400.0,14.372590065002441
2000-08-21,15.25,15.0,15.25,15.0,11600.0,14.136974334716797
2000-08-22,15.8125,14.9375,15.0,15.6875,129700.0,14.784917831420898
2000-08-23,16.25,15.25,15.5625,16.0,319200.0,15.079438209533691
2000-08-24,16.375,15.8125,15.9375,16.375,214800.0,15.432863235473633
2000-08-25,16.5625,16.25,16.375,16.5,99700.0,15.550671577453613
2000-08-28,16.5,16.3125,16.375,16.5,46600.0,15.550671577453613
2000-08-29,16.625,16.25,16.375,16.5,338200.0,15.550671577453613
2000-08-30,16.75,16.375,16.5,16.75,100800.0,15.786288261413574
2000-08-31,18.0,16.5625,16.75,17.625,433900.0,16.610944747924805
2000-09-01,18.125,17.6875,17.75,17.6875,217800.0,16.669851303100586
2000-09-05,17.875,17.4375,17.875,17.4375,43800.0,16.434232711791992
2000-09-06,17.625,17.1406192779541,17.5,17.3125,50900.0,16.316421508789062
2000-09-07,17.75,16.6875,17.5,16.75,293100.0,15.786288261413574
2000-09-08,16.8125,16.6875,16.6875,16.8125,4100.0,15.845192909240723
2000-09-11,16.8125,16.625,16.75,16.625,22300.0,15.668478965759277
2000-09-12,16.75,16.5,16.5,16.625,51800.0,15.668478965759277
2000-09-13,16.625,16.125,16.5625,16.5,37700.0,15.550671577453613
2000-09-14,16.625,16.3125,16.625,16.3125,32600.0,15.373958587646484
2000-09-15,16.5625,16.5,16.5,16.5,84200.0,15.550671577453613
2000-09-18,16.5,16.25,16.375,16.25,62700.0,15.315054893493652
2000-09-19,16.25,15.5,16.25,15.9375,191200.0,15.02053451538086
2000-09-20,15.8125,15.125,15.8125,15.25,214200.0,14.372590065002441
2000-09-21,15.4375,15.25,15.25,15.375,365800.0,14.490397453308105
2000-09-22,15.5,14.875,15.1875,15.0625,373000.0,14.195877075195312
2000-09-25,15.375,15.125,15.3125,15.375,87500.0,14.490397453308105
2000-09-26,15.625,15.0625,15.0625,15.3125,111300.0,14.431493759155273
2000-09-27,15.265620231628418,15.0,15.25,15.0,112500.0,14.136974334716797
2000-09-28,15.25,14.875,15.0,15.1875,69900.0,14.31368637084961
2000-09-29,15.3125,15.0,15.3125,15.0,38300.0,14.136974334716797
2000-10-02,15.375,14.8125,15.375,14.875,21800.0,14.0191650390625
2000-10-03,15.25,14.625,15.25,14.6875,213600.0,13.842453002929688
2000-10-04,14.875,14.625,14.8125,14.75,67500.0,13.901355743408203
2000-10-05,14.75,14.5,14.6875,14.6875,188800.0,13.842453002929688
2000-10-06,14.6875,14.0,14.6875,14.125,76400.0,13.31231689453125
2000-10-09,14.0,13.6875,14.0,13.875,10100.0,13.076701164245605
2000-10-10,14.0,13.5625,13.9375,14.0,171100.0,13.194507598876953
2000-10-11,14.3125,13.625,14.0,14.25,548800.0,13.430126190185547
2000-10-12,14.3125,13.5,14.25,13.5,1614500.0,12.72327709197998
2000-10-13,13.8125,13.375,13.625,13.625,181500.0,12.841085433959961
2000-10-16,13.625,13.1875,13.625,13.25,21700.0,12.48766040802002
2000-10-17,13.3125,12.625,13.3125,12.625,158500.0,11.898619651794434
2000-10-18,13.0,12.0,12.484379768371582,12.8125,607800.0,12.07533073425293
2000-10-19,14.0,13.0,13.0,14.0,226000.0,13.194507598876953
2000-10-20,13.875,13.0625,13.875,13.375,456200.0,12.60546875
