Date,High,Low,Open,Close,Volume,Adj Close
1996-07-12,30.0,30.0,30.0,30.0,0.0,30.0
1996-07-15,34.5,33.0,33.0,33.0,200.0,33.0
1996-07-16,31.5,30.0,31.5,30.0,400.0,30.0
1996-07-17,30.0,28.5,28.5,30.0,200.0,30.0
1996-07-18,30.0,28.5,30.0,28.5,200.0,28.5
1996-07-19,28.5,27.0,28.5,27.0,100.0,27.0
1996-07-22,27.0,25.5,27.0,25.5,1500.0,25.5
1996-07-23,27.0,24.0,24.0,24.0,1200.0,24.0
1996-07-24,24.0,23.25,24.0,24.0,100.0,24.0
1996-07-25,24.0,21.0,24.0,21.75,1500.0,21.75
1996-07-26,22.5,22.5,22.5,22.5,0.0,22.5
1996-07-29,22.5,22.5,22.5,22.5,0.0,22.5
1996-07-30,22.5,21.0,22.5,21.0,500.0,21.0
1996-07-31,22.5,21.0,21.0,22.5,700.0,22.5
1996-08-01,22.5,20.25,21.75,20.25,3200.0,20.25
1996-08-02,21.75,21.75,21.75,21.75,0.0,21.75
1996-08-05,22.5,20.624399185180664,21.75,22.5,3100.0,22.5
1996-08-06,22.5,21.75,22.5,22.5,600.0,22.5
1996-08-07,21.75,21.75,21.75,21.75,0.0,21.75
1996-08-08,22.5,21.0,21.0,21.75,400.0,21.75
1996-08-09,19.5,19.5,19.5,19.5,0.0,19.5
1996-08-12,22.5,20.25,22.5,20.25,1700.0,20.25
1996-08-13,23.25,20.25,20.25,22.5,1800.0,22.5
1996-08-14,27.75,24.0,24.0,26.25,1500.0,26.25
1996-08-15,33.75,29.25,29.25,32.25,3900.0,32.25
1996-08-16,39.75,31.5,33.0,39.75,22200.0,39.75
1996-08-19,51.75,42.0,43.5,51.75,66100.0,51.75
1996-08-20,61.5,46.5,48.0,47.25,61800.0,47.25
1996-08-21,48.75,41.25,48.75,43.5,22800.0,43.5
1996-08-22,45.75,41.25,42.75,41.25,13900.0,41.25
1996-08-23,43.5,40.5,42.0,42.0,11800.0,42.0
1996-08-26,42.0,41.25,41.25,42.0,10600.0,42.0
1996-08-27,42.75,39.75,42.0,42.75,9000.0,42.75
1996-08-28,47.25,42.75,42.75,46.5,17900.0,46.5
1996-08-29,48.75,45.0,46.5,47.25,14000.0,47.25
1996-08-30,48.75,44.25,48.75,48.0,2700.0,48.0
1996-09-03,47.25,43.5,45.0,45.75,4900.0,45.75
1996-09-04,46.5,39.75,46.5,41.6244010925293,9300.0,41.6244010925293
1996-09-05,42.0,39.0,42.0,42.0,7100.0,42.0
1996-09-06,42.0,39.0,41.25,42.0,21000.0,42.0
1996-09-09,43.5,41.25,41.25,43.5,5200.0,43.5
1996-09-10,43.5,39.0,43.5,41.25,16800.0,41.25
1996-09-11,42.0,38.25,41.25,40.5,18000.0,40.5
1996-09-12,43.5,39.0,41.25,40.5,14900.0,40.5
1996-09-13,41.25,39.75,40.5,40.5,5300.0,40.5
1996-09-16,43.1244010925293,40.5,41.25,43.1244010925293,18800.0,43.1244010925293
1996-09-17,45.0,39.0,43.1244010925293,40.8744010925293,17900.0,40.8744010925293
1996-09-18,42.0,39.0,41.25,42.0,13700.0,42.0
1996-09-19,41.6244010925293,40.5,41.6244010925293,41.25,5800.0,41.25
1996-09-20,41.6244010925293,40.5,41.6244010925293,41.25,3100.0,41.25
1996-09-23,41.6244010925293,41.25,41.25,41.6244010925293,200.0,41.6244010925293
1996-09-24,41.6244010925293,39.0,41.6244010925293,41.6244010925293,4600.0,41.6244010925293
1996-09-25,41.6244010925293,40.5,41.6244010925293,40.5,3200.0,40.5
1996-09-26,42.75,40.5,40.8744010925293,42.75,13400.0,42.75
1996-09-27,42.3744010925293,39.0,41.25,40.8744010925293,20500.0,40.8744010925293
1996-09-30,41.6244010925293,40.5,41.6244010925293,40.8744010925293,21100.0,40.8744010925293
1996-10-01,41.25,40.5,41.25,40.5,5100.0,40.5
1996-10-02,41.25,40.5,40.5,40.5,21000.0,40.5
1996-10-03,41.25,40.5,40.5,40.5,17400.0,40.5
1996-10-04,41.25,39.0,40.5,40.5,52100.0,40.5
1996-10-07,41.6244010925293,40.5,40.5,41.25,33600.0,41.25
1996-10-08,48.75,41.6244010925293,42.0,48.0,43400.0,48.0
1996-10-09,51.0,46.5,48.0,49.5,29400.0,49.5
1996-10-10,54.75,48.75,51.0,54.3744010925293,31200.0,54.3744010925293
1996-10-11,57.75,51.3744010925293,54.3744010925293,56.25,26800.0,56.25
1996-10-14,56.25,51.75,55.5,52.5,17500.0,52.5
1996-10-15,53.25,45.75,52.5,45.75,20000.0,45.75
1996-10-16,51.0,45.0,48.0,50.25,5500.0,50.25
1996-10-17,50.25,47.25,50.25,47.6244010925293,7000.0,47.6244010925293
1996-10-18,49.5,46.5,49.5,49.5,7400.0,49.5
1996-10-21,51.75,47.25,51.0,47.25,7800.0,47.25
1996-10-22,49.1244010925293,46.5,48.75,47.25,7800.0,47.25
1996-10-23,48.75,46.5,46.5,48.75,4800.0,48.75
1996-10-24,49.1244010925293,47.25,47.25,48.0,9000.0,48.0
1996-10-25,51.75,48.0,48.0,50.25,9600.0,50.25
1996-10-28,51.0,48.0,49.5,48.75,9400.0,48.75
1996-10-29,50.25,46.5,50.25,46.5,3700.0,46.5
1996-10-30,48.75,46.5,46.5,46.5,7400.0,46.5
1996-10-31,48.0,45.0,48.0,45.75,9500.0,45.75
1996-11-01,47.25,42.3744010925293,47.25,43.8744010925293,8000.0,43.8744010925293
1996-11-04,44.25,41.25,42.0,42.0,4300.0,42.0
1996-11-05,42.0,37.5,41.25,38.25,8300.0,38.25
1996-11-06,40.5,38.25,38.25,38.25,2300.0,38.25
1996-11-07,40.5,38.25,39.0,39.75,1700.0,39.75
1996-11-08,42.75,39.75,40.5,39.75,4600.0,39.75
1996-11-11,40.5,37.8744010925293,40.1244010925293,38.25,7400.0,38.25
1996-11-12,39.75,38.25,39.0,39.75,900.0,39.75
1996-11-13,40.5,37.5,40.5,38.25,4400.0,38.25
1996-11-14,40.5,38.25,38.25,39.75,4400.0,39.75
1996-11-15,40.5,37.5,40.5,37.8744010925293,7700.0,37.8744010925293
1996-11-18,39.75,37.8744010925293,38.6244010925293,37.8744010925293,2800.0,37.8744010925293
1996-11-19,39.75,37.8744010925293,39.75,37.8744010925293,2500.0,37.8744010925293
1996-11-20,39.0,27.75,39.0,27.75,35300.0,27.75
1996-11-21,32.25,28.5,28.874399185180664,30.0,4600.0,30.0
1996-11-22,36.75,30.75,31.5,35.25,8100.0,35.25
1996-11-25,33.0,29.25,33.0,31.5,6800.0,31.5
1996-11-26,33.75,30.0,33.0,31.5,5800.0,31.5
1996-11-27,41.25,31.5,31.5,40.5,8000.0,40.5
1996-11-29,43.5,40.5,43.5,42.0,10000.0,42.0
1996-12-02,42.0,40.1244010925293,42.0,40.5,5700.0,40.5
1996-12-03,41.25,40.1244010925293,40.8744010925293,40.8744010925293,9500.0,40.8744010925293
1996-12-04,42.0,34.8744010925293,40.5,36.0,7100.0,36.0
1996-12-05,46.5,34.5,35.25,45.0,17500.0,45.0
1996-12-06,45.75,42.0,44.6244010925293,45.75,5200.0,45.75
1996-12-09,45.75,41.25,45.75,41.6244010925293,3000.0,41.6244010925293
1996-12-10,41.6244010925293,39.0,40.1244010925293,39.75,1800.0,39.75
1996-12-11,41.25,40.1244010925293,40.8744010925293,40.8744010925293,2400.0,40.8744010925293
1996-12-12,41.25,39.3744010925293,39.75,39.3744010925293,2900.0,39.3744010925293
1996-12-13,40.1244010925293,35.25,38.25,37.5,11500.0,37.5
1996-12-16,39.0,37.1244010925293,37.5,37.5,1400.0,37.5
1996-12-17,36.75,33.75,36.3744010925293,34.5,4900.0,34.5
1996-12-18,35.25,33.0,33.0,33.75,1800.0,33.75
1996-12-19,35.25,32.25,33.75,32.25,3000.0,32.25
1996-12-20,33.0,29.25,33.0,29.25,11100.0,29.25
1996-12-23,30.75,25.5,28.5,29.25,14700.0,29.25
1996-12-24,31.5,29.25,29.25,31.5,1000.0,31.5
1996-12-26,32.25,27.0,31.5,28.5,9500.0,28.5
1996-12-27,27.75,24.75,27.75,24.75,5800.0,24.75
1996-12-30,30.0,24.75,24.75,27.0,12700.0,27.0
1996-12-31,29.25,25.5,25.5,27.0,5300.0,27.0
1997-01-02,30.0,27.75,28.5,27.75,2600.0,27.75
1997-01-03,29.25,27.0,27.75,27.0,4100.0,27.0
1997-01-06,27.75,25.874399185180664,27.75,25.874399185180664,5800.0,25.874399185180664
1997-01-07,27.0,26.25,26.25,27.0,800.0,27.0
1997-01-08,26.624399185180664,26.25,26.624399185180664,26.624399185180664,1400.0,26.624399185180664
1997-01-09,26.624399185180664,26.25,26.25,26.25,1900.0,26.25
1997-01-10,27.0,25.5,26.25,26.624399185180664,4200.0,26.624399185180664
1997-01-13,29.25,23.25,26.25,26.25,19300.0,26.25
1997-01-14,27.75,23.25,27.75,24.0,8100.0,24.0
1997-01-15,25.5,23.25,25.124399185180664,24.75,4300.0,24.75
1997-01-16,24.75,23.25,24.75,24.0,4300.0,24.0
1997-01-17,25.5,23.25,23.25,25.5,2600.0,25.5
1997-01-20,24.75,22.5,24.0,24.0,5900.0,24.0
1997-01-21,25.874399185180664,24.0,24.0,24.75,3200.0,24.75
1997-01-22,28.5,25.5,25.874399185180664,27.75,4300.0,27.75
1997-01-23,31.874399185180664,27.75,29.25,27.75,6600.0,27.75
1997-01-24,28.5,25.874399185180664,28.5,25.874399185180664,2500.0,25.874399185180664
1997-01-27,27.374399185180664,25.874399185180664,25.874399185180664,25.874399185180664,1500.0,25.874399185180664
1997-01-28,25.5,23.624399185180664,25.5,23.624399185180664,1700.0,23.624399185180664
1997-01-29,25.5,23.811599731445312,24.0,24.75,4600.0,24.75
1997-01-30,24.75,21.374399185180664,23.624399185180664,24.0,8400.0,24.0
1997-01-31,24.75,22.124399185180664,24.0,23.624399185180664,2400.0,23.624399185180664
1997-02-03,27.75,24.0,24.0,26.624399185180664,11200.0,26.624399185180664
1997-02-04,25.874399185180664,24.374399185180664,25.874399185180664,24.75,1300.0,24.75
1997-02-05,25.874399185180664,24.0,24.75,25.874399185180664,4600.0,25.874399185180664
1997-02-06,26.624399185180664,24.75,26.25,25.5,6400.0,25.5
1997-02-07,27.75,26.25,27.0,27.75,5200.0,27.75
1997-02-10,26.624399185180664,25.124399185180664,26.25,25.124399185180664,2400.0,25.124399185180664
1997-02-11,26.25,25.124399185180664,25.5,26.25,1100.0,26.25
1997-02-12,26.25,24.374399185180664,26.25,24.75,2600.0,24.75
1997-02-13,26.25,24.75,24.75,25.5,6000.0,25.5
1997-02-14,25.5,24.75,25.124399185180664,24.75,2900.0,24.75
1997-02-18,25.5,24.75,25.5,25.124399185180664,1900.0,25.124399185180664
1997-02-19,25.5,24.374399185180664,25.5,24.374399185180664,7300.0,24.374399185180664
1997-02-20,25.5,24.0,24.374399185180664,24.75,4500.0,24.75
1997-02-21,25.5,24.374399185180664,24.75,24.374399185180664,7000.0,24.374399185180664
1997-02-24,24.75,23.624399185180664,24.75,23.624399185180664,2100.0,23.624399185180664
1997-02-25,25.5,24.0,25.5,24.0,5800.0,24.0
1997-02-26,25.124399185180664,24.0,24.75,25.124399185180664,10400.0,25.124399185180664
1997-02-27,24.75,24.374399185180664,24.75,24.374399185180664,18700.0,24.374399185180664
1997-02-28,24.561599731445312,24.0,24.0,24.374399185180664,6500.0,24.374399185180664
1997-03-03,24.374399185180664,24.0,24.374399185180664,24.374399185180664,6800.0,24.374399185180664
1997-03-04,25.5,24.0,24.0,24.75,42000.0,24.75
1997-03-05,24.75,24.0,24.75,24.75,3100.0,24.75
1997-03-06,25.5,23.624399185180664,25.124399185180664,25.5,35300.0,25.5
1997-03-07,33.75,29.25,30.75,30.75,144500.0,30.75
1997-03-10,42.75,32.437198638916016,33.937198638916016,37.8744010925293,184800.0,37.8744010925293
1997-03-11,42.3744010925293,36.75,42.0,37.8744010925293,44800.0,37.8744010925293
1997-03-12,39.75,36.3744010925293,39.3744010925293,39.0,49800.0,39.0
1997-03-13,42.3744010925293,38.25,38.6244010925293,40.5,28100.0,40.5
1997-03-14,41.25,39.0,40.8744010925293,40.5,17300.0,40.5
1997-03-17,41.25,39.0,41.25,39.0,15300.0,39.0
1997-03-18,39.75,35.6244010925293,39.3744010925293,36.3744010925293,13100.0,36.3744010925293
1997-03-19,38.25,36.0,37.8744010925293,36.0,14300.0,36.0
1997-03-20,38.25,36.0,36.75,37.5,9800.0,37.5
1997-03-21,37.8744010925293,36.0,37.1244010925293,36.3744010925293,14100.0,36.3744010925293
1997-03-24,41.25,38.25,39.0,41.25,15300.0,41.25
1997-03-25,41.25,36.75,40.8744010925293,38.25,10300.0,38.25
1997-03-26,39.75,37.5,37.5,39.0,9000.0,39.0
1997-03-27,39.3744010925293,37.5,39.0,38.6244010925293,4900.0,38.6244010925293
1997-03-31,39.0,36.0,38.6244010925293,36.0,7800.0,36.0
1997-04-01,37.8744010925293,35.25,37.5,36.75,6800.0,36.75
1997-04-02,37.5,34.8744010925293,36.75,35.6244010925293,5600.0,35.6244010925293
1997-04-03,36.75,34.8744010925293,35.6244010925293,35.6244010925293,4900.0,35.6244010925293
1997-04-04,35.6244010925293,33.75,35.6244010925293,34.5,4600.0,34.5
1997-04-07,35.6244010925293,33.0,34.5,34.5,7600.0,34.5
1997-04-08,34.5,33.3744010925293,34.5,34.1244010925293,3400.0,34.1244010925293
1997-04-09,37.5,36.0,36.0,37.1244010925293,11500.0,37.1244010925293
1997-04-10,37.1244010925293,35.25,37.1244010925293,36.0,5600.0,36.0
1997-04-11,36.0,33.0,35.6244010925293,33.0,5900.0,33.0
1997-04-14,34.5,32.6244010925293,34.5,33.0,6800.0,33.0
1997-04-15,34.1244010925293,31.874399185180664,33.75,32.6244010925293,8700.0,32.6244010925293
1997-04-16,40.5,31.874399185180664,31.874399185180664,39.0,24100.0,39.0
1997-04-17,50.25,39.75,39.75,45.75,92600.0,45.75
1997-04-18,48.3744010925293,42.0,47.25,43.5,25400.0,43.5
1997-04-21,46.5,40.5,45.0,44.6244010925293,11400.0,44.6244010925293
1997-04-22,45.0,42.75,44.6244010925293,43.5,3500.0,43.5
1997-04-23,44.25,39.75,44.25,41.25,2600.0,41.25
1997-04-24,42.75,39.0,41.25,41.25,6200.0,41.25
1997-04-25,42.0,38.6244010925293,42.0,38.6244010925293,4100.0,38.6244010925293
1997-04-28,39.0,36.75,38.6244010925293,36.75,10000.0,36.75
1997-04-29,37.5,35.6244010925293,36.75,36.75,17300.0,36.75
1997-04-30,44.25,36.75,36.75,42.75,9900.0,42.75
1997-05-01,46.5,42.0,43.1244010925293,45.75,8400.0,45.75
1997-05-02,48.75,44.25,46.5,44.25,13700.0,44.25
1997-05-05,47.25,44.25,45.75,46.1244010925293,4500.0,46.1244010925293
1997-05-06,48.3744010925293,45.3744010925293,45.3744010925293,48.0,19300.0,48.0
1997-05-07,49.8744010925293,40.5,48.0,43.5,18600.0,43.5
1997-05-08,43.5,40.5,43.5,41.25,5300.0,41.25
1997-05-09,42.3744010925293,40.5,42.0,42.0,5400.0,42.0
1997-05-12,42.0,35.6244010925293,41.25,36.0,16500.0,36.0
1997-05-13,41.25,35.6244010925293,37.5,40.5,8800.0,40.5
1997-05-14,43.5,40.5,40.5,40.8744010925293,3700.0,40.8744010925293
1997-05-15,42.0,38.25,41.6244010925293,38.25,7600.0,38.25
1997-05-16,40.8744010925293,36.0,39.75,38.25,11100.0,38.25
1997-05-19,39.0,36.3744010925293,37.5,37.5,1400.0,37.5
1997-05-20,37.5,36.0,36.3744010925293,36.75,5700.0,36.75
1997-05-21,37.5,35.6244010925293,37.5,36.75,12200.0,36.75
1997-05-22,37.5,35.6244010925293,36.0,37.1244010925293,7000.0,37.1244010925293
1997-05-23,37.5,36.0,36.75,37.1244010925293,10600.0,37.1244010925293
1997-05-27,37.1244010925293,35.6244010925293,37.1244010925293,35.6244010925293,7000.0,35.6244010925293
1997-05-28,36.3744010925293,36.0,36.3744010925293,36.0,5300.0,36.0
1997-05-29,36.3744010925293,35.6244010925293,36.3744010925293,36.0,6700.0,36.0
1997-05-30,36.3744010925293,35.6244010925293,36.3744010925293,36.3744010925293,1600.0,36.3744010925293
1997-06-02,36.3744010925293,35.6244010925293,36.3744010925293,36.0,1500.0,36.0
1997-06-03,36.3744010925293,35.6244010925293,35.6244010925293,36.0,1800.0,36.0
1997-06-04,36.3744010925293,34.5,36.0,34.5,2900.0,34.5
1997-06-05,36.0,34.5,36.0,34.5,2400.0,34.5
1997-06-06,34.8744010925293,32.6244010925293,34.5,33.3744010925293,9100.0,33.3744010925293
1997-06-09,34.8744010925293,33.0,34.8744010925293,33.0,7300.0,33.0
1997-06-10,33.3744010925293,32.25,33.3744010925293,33.3744010925293,7200.0,33.3744010925293
1997-06-11,33.3744010925293,33.0,33.0,33.3744010925293,500.0,33.3744010925293
1997-06-12,33.3744010925293,32.6244010925293,32.6244010925293,33.0,6900.0,33.0
1997-06-13,33.3744010925293,32.6244010925293,33.3744010925293,33.0,9200.0,33.0
1997-06-16,34.1244010925293,33.0,33.0,33.3744010925293,4700.0,33.3744010925293
1997-06-17,33.75,30.374399185180664,33.75,30.374399185180664,9500.0,30.374399185180664
1997-06-18,31.5,29.624399185180664,30.0,30.75,5000.0,30.75
1997-06-19,31.874399185180664,30.0,30.75,31.124399185180664,5400.0,31.124399185180664
1997-06-20,33.0,31.874399185180664,33.0,32.6244010925293,3500.0,32.6244010925293
1997-06-23,34.5,31.5,33.0,33.0,4000.0,33.0
1997-06-24,33.3744010925293,31.874399185180664,33.3744010925293,31.874399185180664,4200.0,31.874399185180664
1997-06-25,33.3744010925293,31.874399185180664,32.25,33.3744010925293,1100.0,33.3744010925293
1997-06-26,37.5,34.1244010925293,34.1244010925293,35.6244010925293,12200.0,35.6244010925293
1997-06-27,36.3744010925293,34.8744010925293,36.3744010925293,36.3744010925293,12900.0,36.3744010925293
1997-06-30,37.5,34.8744010925293,36.3744010925293,36.0,9700.0,36.0
1997-07-01,37.8744010925293,35.6244010925293,36.0,37.1244010925293,8300.0,37.1244010925293
1997-07-02,37.1244010925293,35.6244010925293,37.1244010925293,36.0,4600.0,36.0
1997-07-03,36.0,35.6244010925293,36.0,35.6244010925293,2000.0,35.6244010925293
1997-07-07,36.0,34.8744010925293,36.0,34.8744010925293,900.0,34.8744010925293
1997-07-08,35.25,31.874399185180664,34.5,32.25,3200.0,32.25
1997-07-09,34.5,30.75,34.5,31.5,9400.0,31.5
1997-07-10,33.0,30.0,33.0,30.374399185180664,8800.0,30.374399185180664
1997-07-11,31.124399185180664,30.374399185180664,31.124399185180664,30.374399185180664,3900.0,30.374399185180664
1997-07-14,32.25,30.75,31.124399185180664,31.5,4500.0,31.5
1997-07-15,33.0,31.5,33.0,33.0,1100.0,33.0
1997-07-16,36.0,32.6244010925293,34.5,36.0,3700.0,36.0
1997-07-17,36.75,35.25,35.25,36.75,4200.0,36.75
1997-07-18,36.75,35.25,35.25,35.25,1400.0,35.25
1997-07-21,36.75,35.25,36.0,35.6244010925293,2900.0,35.6244010925293
1997-07-22,36.0,34.5,35.6244010925293,34.8744010925293,1400.0,34.8744010925293
1997-07-23,35.6244010925293,33.0,35.6244010925293,34.5,3100.0,34.5
1997-07-24,36.0,34.1244010925293,34.1244010925293,34.5,4000.0,34.5
1997-07-25,34.8744010925293,33.75,34.1244010925293,34.5,2300.0,34.5
1997-07-28,35.25,33.75,34.1244010925293,33.75,4000.0,33.75
1997-07-29,36.0,34.5,34.5,36.0,2600.0,36.0
1997-07-30,36.0,33.0,36.0,33.0,6800.0,33.0
1997-07-31,34.5,32.25,33.75,33.0,3400.0,33.0
1997-08-01,34.5,33.0,33.0,33.3744010925293,2400.0,33.3744010925293
1997-08-04,33.3744010925293,32.6244010925293,33.0,32.6244010925293,1900.0,32.6244010925293
1997-08-05,33.3744010925293,32.25,33.3744010925293,32.6244010925293,3300.0,32.6244010925293
1997-08-06,36.75,32.6244010925293,33.0,36.0,5500.0,36.0
1997-08-07,37.5,35.6244010925293,36.75,36.3744010925293,6800.0,36.3744010925293
1997-08-08,37.1244010925293,36.0,37.1244010925293,36.0,2400.0,36.0
1997-08-11,36.3744010925293,35.6244010925293,36.0,36.3744010925293,1900.0,36.3744010925293
1997-08-12,36.0,34.8744010925293,36.0,34.8744010925293,4000.0,34.8744010925293
1997-08-13,35.6244010925293,34.5,35.6244010925293,34.5,2600.0,34.5
1997-08-14,35.25,34.5,34.5,34.8744010925293,3200.0,34.8744010925293
1997-08-15,34.8744010925293,34.1244010925293,34.8744010925293,34.8744010925293,7100.0,34.8744010925293
1997-08-18,36.75,34.5,34.5,36.75,7500.0,36.75
1997-08-19,36.3744010925293,35.25,36.0,36.0,3500.0,36.0
