Date,High,Low,Open,Close,Volume,Adj Close
1993-11-03,7.375,7.0625,7.1875,7.1875,2423400.0,6.5061116218566895
1993-11-04,7.25,7.0,7.1875,7.0,379400.0,6.336386203765869
1993-11-05,7.0625,6.875,7.0,6.875,633800.0,6.22323751449585
1993-11-08,6.9375,6.875,6.875,6.9375,86600.0,6.279812335968018
1993-11-09,7.0,6.875,6.9375,6.875,179200.0,6.22323751449585
1993-11-10,7.25,6.8125,6.875,7.0625,151400.0,6.3929619789123535
1993-11-11,7.375,7.0,7.125,7.3125,287200.0,6.619261741638184
1993-11-12,7.4375,7.125,7.375,7.3125,155600.0,6.619261741638184
1993-11-15,7.375,7.25,7.25,7.3125,139400.0,6.619261741638184
1993-11-16,7.3125,7.0625,7.25,7.125,89200.0,6.449535846710205
1993-11-17,7.1875,7.0,7.0,7.0,33600.0,6.336386203765869
1993-11-18,7.0625,6.875,7.0625,7.0,50400.0,6.336386203765869
1993-11-19,7.0,6.8125,6.9375,6.8125,37000.0,6.166662216186523
1993-11-22,6.875,6.5,6.875,6.5625,137400.0,5.94036340713501
1993-11-23,6.875,6.5625,6.625,6.875,75800.0,6.22323751449585
1993-11-24,7.0,6.875,6.9375,7.0,131200.0,6.336386203765869
1993-11-26,7.0625,7.0625,7.0625,7.0625,11600.0,6.3929619789123535
1993-11-29,7.25,7.0,7.0625,7.0625,51000.0,6.3929619789123535
1993-11-30,7.625,7.125,7.125,7.5625,197600.0,6.84556245803833
1993-12-01,7.625,7.3125,7.625,7.375,116800.0,6.675837993621826
1993-12-02,7.5625,7.375,7.4375,7.4375,120000.0,6.732412338256836
1993-12-03,7.5,7.4375,7.4375,7.5,28200.0,6.78898811340332
1993-12-06,7.6875,7.375,7.4375,7.6875,101800.0,6.958713531494141
1993-12-07,7.9375,7.625,7.8125,7.875,96600.0,7.12843656539917
1993-12-08,8.125,7.875,7.875,8.125,189600.0,7.354736804962158
1993-12-09,8.125,8.0625,8.0625,8.0625,74200.0,7.298161506652832
1993-12-10,8.0625,7.75,8.0625,7.75,61000.0,7.015285491943359
1993-12-13,7.8125,7.625,7.75,7.75,158800.0,7.015285491943359
1993-12-14,8.25,7.75,7.8125,8.0625,184800.0,7.298161506652832
1993-12-15,8.4375,8.0625,8.0625,8.375,138200.0,7.581036567687988
1993-12-16,8.625,8.5,8.5,8.625,92200.0,7.807332515716553
1993-12-17,9.125,8.5625,8.625,9.0,202600.0,8.146783828735352
1993-12-20,9.25,8.75,9.125,8.8125,270400.0,7.977058410644531
1993-12-21,8.875,8.75,8.875,8.75,27400.0,7.920482635498047
1993-12-22,8.875,8.6875,8.75,8.875,27400.0,8.033638000488281
1993-12-23,9.0,8.8125,8.875,8.875,113400.0,8.033638000488281
1993-12-27,9.0,8.875,8.875,9.0,11800.0,8.146783828735352
1993-12-28,8.9375,8.9375,8.9375,8.9375,1400.0,8.090209007263184
1993-12-29,9.0,8.875,8.875,8.9375,43000.0,8.090209007263184
1993-12-30,9.0625,8.9375,9.0,9.0,28400.0,8.146783828735352
1993-12-31,9.125,9.0625,9.0625,9.125,10000.0,8.259934425354004
1994-01-03,9.125,8.9375,9.0,9.0625,48000.0,8.203356742858887
1994-01-04,9.0625,8.75,9.0,8.75,40200.0,7.920482635498047
1994-01-05,8.6875,8.4375,8.6875,8.5625,19000.0,7.750760078430176
1994-01-06,8.75,8.5,8.5,8.75,6400.0,7.920482635498047
1994-01-07,8.75,8.625,8.625,8.6875,18200.0,7.863908290863037
1994-01-10,8.75,8.6875,8.75,8.75,18600.0,7.920482635498047
1994-01-11,8.625,8.5,8.625,8.5625,8000.0,7.750760078430176
1994-01-12,8.75,8.5,8.5,8.6875,20200.0,7.863908290863037
1994-01-13,8.6875,8.5,8.6875,8.625,19800.0,7.807332515716553
1994-01-14,8.5,8.4375,8.4375,8.5,38400.0,7.694185256958008
1994-01-17,8.5625,8.4375,8.5,8.5,54800.0,7.694185256958008
1994-01-18,8.75,8.5,8.5625,8.6875,46800.0,7.863908290863037
1994-01-19,8.75,8.5,8.75,8.5,47000.0,7.694185256958008
1994-01-20,8.8125,8.625,8.625,8.8125,120200.0,7.977058410644531
1994-01-21,8.8125,8.625,8.8125,8.625,90600.0,7.807332515716553
1994-01-24,8.6875,8.5,8.6875,8.5,16200.0,7.694185256958008
1994-01-25,8.5625,8.5,8.5,8.5,15200.0,7.694185256958008
1994-01-26,8.4375,8.375,8.4375,8.4375,11200.0,7.637609481811523
1994-01-27,8.5,8.4375,8.4375,8.5,25200.0,7.694185256958008
1994-01-28,8.5625,8.3125,8.4375,8.5625,58600.0,7.750760078430176
1994-01-31,8.5625,8.5,8.5625,8.5625,31800.0,7.750760078430176
1994-02-01,8.5,8.375,8.4375,8.5,16800.0,7.694185256958008
1994-02-02,8.5625,8.375,8.375,8.5,43800.0,7.694185256958008
1994-02-03,8.375,8.25,8.375,8.3125,25400.0,7.524461269378662
1994-02-04,8.3125,8.0625,8.1875,8.125,38200.0,7.354736804962158
1994-02-07,8.0,7.75,8.0,7.75,41400.0,7.015285491943359
1994-02-08,8.0625,7.75,7.75,8.0625,76000.0,7.298161506652832
1994-02-09,8.1875,8.0,8.0,8.1875,62400.0,7.411311149597168
1994-02-10,8.1875,8.125,8.1875,8.125,30400.0,7.354736804962158
1994-02-11,8.1875,8.0625,8.0625,8.0625,22400.0,7.298161506652832
1994-02-14,8.125,8.0,8.0625,8.125,6400.0,7.354736804962158
1994-02-15,8.125,8.0,8.125,8.0625,39200.0,7.298161506652832
1994-02-16,8.125,8.0625,8.0625,8.0625,50600.0,7.298161506652832
1994-02-17,8.125,8.0625,8.125,8.0625,19400.0,7.298161506652832
1994-02-18,8.125,8.0625,8.0625,8.0625,26600.0,7.298161506652832
1994-02-22,8.0625,8.0,8.0,8.0,15400.0,7.241586208343506
1994-02-23,8.0,8.0,8.0,8.0,112600.0,7.241586208343506
1994-02-24,7.9375,7.8125,7.9375,7.875,40000.0,7.12843656539917
1994-02-25,7.875,7.75,7.8125,7.8125,18000.0,7.071862697601318
