Date,High,Low,Open,Close,Volume,Adj Close
1997-10-02,15.25,13.75,14.25,15.125,3421300,15.125
1997-10-03,16.0,15.125,15.75,15.5,848000,15.5
1997-10-06,15.875,15.375,15.625,15.875,221300,15.875
1997-10-07,16.0,15.5,15.625,15.75,145500,15.75
1997-10-08,16.0,14.875,15.625,15.0,317500,15.0
1997-10-09,15.25,14.5,15.125,14.875,115500,14.875
1997-10-10,15.25,14.75,15.25,15.125,76600,15.125
1997-10-13,15.0,14.625,14.875,15.0,97700,15.0
1997-10-14,15.0,14.125,15.0,14.25,175000,14.25
1997-10-15,15.0,14.25,14.375,15.0,143900,15.0
1997-10-16,15.25,14.875,14.875,15.0,10500,15.0
1997-10-17,14.875,14.125,14.875,14.125,74700,14.125
1997-10-20,14.625,14.125,14.125,14.5,375400,14.5
1997-10-21,14.75,14.125,14.125,14.5,26700,14.5
1997-10-22,15.0,14.25,14.75,14.625,104900,14.625
1997-10-23,15.0,14.375,14.5,14.5,61200,14.5
1997-10-24,15.0,14.5,15.0,14.5,32000,14.5
1997-10-27,14.625,13.375,14.625,13.406200408935547,57200,13.406200408935547
1997-10-28,13.75,11.75,12.75,13.625,209800,13.625
1997-10-29,13.75,13.0,13.625,13.125,175900,13.125
1997-10-30,13.625,13.0,13.5,13.25,164700,13.25
1997-10-31,13.625,13.0,13.625,13.0,34000,13.0
1997-11-03,13.625,13.0,13.625,13.5,29400,13.5
1997-11-04,13.625,13.0,13.625,13.3125,27400,13.3125
1997-11-05,14.875,14.0,14.375,14.5,193900,14.5
1997-11-06,15.5,14.375,14.625,15.375,76600,15.375
1997-11-07,15.25,14.25,15.25,14.875,41400,14.875
1997-11-10,15.625,15.0,15.25,15.125,14100,15.125
1997-11-11,15.5,15.0,15.0,15.125,74700,15.125
1997-11-12,15.375,14.75,15.375,14.75,103400,14.75
1997-11-13,14.75,14.5,14.625,14.5,25300,14.5
1997-11-14,14.75,14.5,14.5,14.75,7100,14.75
1997-11-17,14.875,14.75,14.75,14.875,7400,14.875
1997-11-18,14.875,14.75,14.875,14.75,61200,14.75
1997-11-19,14.5,14.0,14.5,14.5,8400,14.5
1997-11-20,14.5,14.0,14.5,14.0,9400,14.0
1997-11-21,14.375,13.625,13.875,13.9375,14000,13.9375
1997-11-24,13.5,13.0,13.5,13.0,15900,13.0
1997-11-25,13.25,13.0,13.0,13.25,4200,13.25
1997-11-26,13.5,12.875,13.25,12.875,48600,12.875
1997-11-28,13.25,13.0,13.25,13.0,4200,13.0
1997-12-01,13.25,13.25,13.25,13.25,1000,13.25
1997-12-02,13.0,12.5,13.0,12.875,7700,12.875
1997-12-03,13.125,12.875,13.125,12.875,6400,12.875
1997-12-04,13.625,13.0,13.0,13.375,21500,13.375
1997-12-05,13.375,13.0,13.375,13.1875,8600,13.1875
1997-12-08,13.375,13.0,13.0,13.125,24200,13.125
1997-12-09,13.25,13.0,13.0,13.0,2800,13.0
1997-12-10,13.0,12.5,13.0,12.5,16100,12.5
1997-12-11,12.5,12.4375,12.5,12.4375,2900,12.4375
1997-12-12,12.5,11.875,12.5,11.875,143800,11.875
1997-12-15,12.0,11.375,12.0,11.375,23700,11.375
1997-12-16,11.625,10.875,11.375,11.4375,107400,11.4375
1997-12-17,12.125,11.25,11.625,11.875,272600,11.875
1997-12-18,11.75,11.5,11.5,11.5,2600,11.5
1997-12-19,12.75,11.75,12.0,12.75,129700,12.75
1997-12-22,12.625,12.125,12.625,12.125,2500,12.125
1997-12-23,12.5,12.125,12.125,12.125,6500,12.125
1997-12-24,12.5,12.125,12.5,12.125,52000,12.125
1997-12-26,12.156200408935547,12.0,12.125,12.125,3500,12.125
1997-12-29,12.125,11.75,12.0,12.0,85400,12.0
1997-12-30,12.375,12.0,12.25,12.25,70100,12.25
1997-12-31,12.5,12.25,12.25,12.25,3900,12.25
1998-01-02,12.75,12.5,12.5,12.5,2700,12.5
1998-01-05,13.0,12.375,12.375,13.0,14500,13.0
1998-01-06,13.25,12.75,13.25,12.75,6000,12.75
1998-01-07,13.25,12.75,12.75,13.25,3600,13.25
1998-01-08,13.375,13.25,13.25,13.375,1000,13.375
1998-01-09,13.5,12.75,13.5,12.75,20100,12.75
1998-01-12,13.875,12.5,12.5,13.75,4800,13.75
1998-01-13,14.4375,13.625,14.125,14.25,6700,14.25
1998-01-14,15.125,14.5,14.5,15.125,3100,15.125
1998-01-15,15.625,14.875,15.375,14.875,10100,14.875
1998-01-16,15.0,13.75,15.0,14.125,7900,14.125
1998-01-20,14.0,13.5,14.0,13.5,8800,13.5
1998-01-21,13.25,12.25,13.25,12.5,14400,12.5
1998-01-22,12.75,12.0,12.4375,12.125,5800,12.125
1998-01-23,13.25,12.5,12.5,13.25,6500,13.25
1998-01-26,13.25,12.75,13.0,12.75,7600,12.75
1998-01-27,13.125,12.75,13.125,12.875,3900,12.875
1998-01-28,13.375,12.875,13.375,13.0625,4200,13.0625
1998-01-29,16.0,13.5,13.5,16.0,31500,16.0
1998-01-30,15.75,14.625,15.5,15.0,166300,15.0
1998-02-02,14.875,14.375,14.625,14.375,41100,14.375
1998-02-03,14.75,14.375,14.5625,14.625,75300,14.625
1998-02-04,14.75,14.5,14.625,14.625,212600,14.625
1998-02-05,15.375,14.375,14.625,15.0,50400,15.0
1998-02-06,15.375,14.875,15.375,15.125,87100,15.125
1998-02-09,15.25,14.875,14.875,15.0625,73600,15.0625
1998-02-10,15.125,14.75,15.0,14.875,60500,14.875
1998-02-11,14.875,14.375,14.75,14.375,255800,14.375
1998-02-12,14.5,14.375,14.5,14.375,27100,14.375
1998-02-13,14.5,14.375,14.375,14.375,13200,14.375
1998-02-17,15.0,14.125,14.25,14.375,93200,14.375
1998-02-18,14.375,14.375,14.375,14.375,100,14.375
1998-02-19,14.625,14.125,14.625,14.375,28500,14.375
1998-02-20,14.75,14.25,14.25,14.625,53000,14.625
1998-02-23,15.0,14.625,15.0,15.0,24100,15.0
1998-02-24,15.75,15.0,15.25,15.656200408935547,65700,15.656200408935547
1998-02-25,15.8125,15.1875,15.8125,15.25,23900,15.25
1998-02-26,15.5,15.125,15.5,15.125,6800,15.125
1998-02-27,15.25,15.125,15.1875,15.25,18400,15.25
1998-03-02,15.0,13.75,15.0,14.75,38600,14.75
1998-03-03,14.625,14.25,14.625,14.375,7900,14.375
1998-03-04,14.5,13.75,14.5,13.75,6500,13.75
1998-03-05,13.625,13.375,13.625,13.375,2800,13.375
1998-03-06,13.9375,13.5,13.5,13.75,7300,13.75
1998-03-09,13.75,13.5,13.5,13.625,10400,13.625
1998-03-10,13.875,13.5,13.625,13.6875,54500,13.6875
1998-03-11,14.5,14.0,14.125,14.25,22200,14.25
1998-03-12,14.25,14.0,14.0,14.25,11000,14.25
1998-03-13,14.0,13.75,13.75,13.75,36600,13.75
1998-03-16,13.875,13.0,13.875,13.0,10900,13.0
1998-03-17,13.375,12.875,12.875,13.375,7700,13.375
1998-03-18,13.0,12.875,13.0,13.0,3100,13.0
1998-03-19,13.25,13.125,13.25,13.25,119200,13.25
1998-03-20,13.125,13.125,13.125,13.125,200,13.125
1998-03-23,13.375,13.125,13.25,13.125,19700,13.125
1998-03-24,13.25,13.0,13.125,13.25,72600,13.25
1998-03-25,13.375,13.375,13.375,13.375,1400,13.375
1998-03-26,13.25,13.125,13.125,13.25,1700,13.25
1998-03-27,13.25,12.875,13.25,13.0,13100,13.0
1998-03-30,13.0,12.75,13.0,12.75,3000,12.75
1998-03-31,12.5,11.125,12.5,11.625,723700,11.625
1998-04-01,12.0,11.5625,11.5625,11.6875,13200,11.6875
1998-04-02,11.75,11.3125,11.75,11.375,38900,11.375
1998-04-03,11.5,11.3125,11.3125,11.5,15000,11.5
1998-04-06,11.5625,11.4375,11.5,11.4375,10400,11.4375
1998-04-07,11.5625,11.375,11.5625,11.5,10500,11.5
1998-04-08,11.5625,11.375,11.5625,11.5,16700,11.5
1998-04-09,12.0,11.625,11.75,11.875,41900,11.875
1998-04-13,11.75,11.25,11.625,11.25,55500,11.25
1998-04-14,11.5,11.25,11.5,11.25,116200,11.25
1998-04-15,11.4375,11.25,11.4375,11.375,26500,11.375
1998-04-16,11.25,11.1875,11.1875,11.1875,13200,11.1875
1998-04-17,11.25,11.1875,11.1875,11.25,7800,11.25
1998-04-20,12.125,11.75,11.8125,11.9375,58900,11.9375
1998-04-21,12.25,11.375,11.875,11.375,83100,11.375
1998-04-22,12.0,11.5,11.5,12.0,1700,12.0
1998-04-23,12.0,11.5,11.625,12.0,13600,12.0
1998-04-24,12.4375,11.625,11.625,12.25,13200,12.25
1998-04-27,12.375,11.5,12.375,11.5,22400,11.5
1998-04-28,11.625,11.625,11.625,11.625,5400,11.625
1998-04-29,11.9375,11.75,11.75,11.8125,65400,11.8125
1998-04-30,12.5,11.375,12.5,11.5,142100,11.5
1998-05-01,11.5,11.25,11.375,11.25,121400,11.25
1998-05-04,11.5,11.1875,11.5,11.25,33700,11.25
1998-05-05,11.5,11.25,11.25,11.3125,7200,11.3125
1998-05-06,11.625,11.375,11.375,11.4375,22200,11.4375
1998-05-07,12.0,11.375,11.5,11.375,89300,11.375
1998-05-08,11.625,11.4375,11.625,11.5,65900,11.5
1998-05-11,11.625,11.375,11.375,11.375,120400,11.375
1998-05-12,11.625,11.0,11.625,11.0,139700,11.0
1998-05-13,11.5,11.0,11.0,11.1875,234000,11.1875
1998-05-14,11.5,11.125,11.375,11.125,122400,11.125
1998-05-15,11.5,11.0,11.5,11.1875,17700,11.1875
1998-05-18,11.4375,10.875,11.0,10.9375,57500,10.9375
1998-05-19,11.125,10.875,10.9375,10.875,37100,10.875
1998-05-20,11.0,10.375,11.0,10.625,40100,10.625
1998-05-21,10.5,10.1875,10.4375,10.1875,99000,10.1875
1998-05-22,10.5,10.1875,10.375,10.375,236500,10.375
1998-05-26,10.4375,9.875,10.3125,9.9375,90200,9.9375
1998-05-27,10.25,9.25,10.0,9.8125,80600,9.8125
1998-05-28,10.0,9.5,9.5,9.9375,14700,9.9375
1998-05-29,10.125,10.0,10.125,10.0,13900,10.0
1998-06-01,10.375,10.0625,10.125,10.375,4200,10.375
1998-06-02,10.625,9.875,9.875,10.5,33600,10.5
1998-06-03,10.625,10.25,10.25,10.5625,24400,10.5625
1998-06-04,10.625,10.5,10.5,10.625,10900,10.625
1998-06-05,10.875,10.5,10.625,10.75,106500,10.75
1998-06-08,11.0,10.75,11.0,10.875,9800,10.875
1998-06-09,11.0,10.5,10.5,10.75,78700,10.75
1998-06-10,10.875,10.625,10.75,10.625,76200,10.625
1998-06-11,10.875,10.125,10.75,10.125,60500,10.125
1998-06-12,10.25,10.0,10.25,10.125,24000,10.125
1998-06-15,10.25,9.875,10.25,10.125,15400,10.125
1998-06-16,10.125,9.875,9.875,10.0,39800,10.0
1998-06-17,10.25,9.9375,10.25,9.9375,55300,9.9375
1998-06-18,10.5,9.875,10.0,10.5,45100,10.5
1998-06-19,10.25,10.0,10.25,10.125,22100,10.125
1998-06-22,10.25,10.125,10.125,10.25,2400,10.25
1998-06-23,10.375,10.0,10.0625,10.0,14900,10.0
1998-06-24,10.125,9.9375,10.0625,9.9375,81500,9.9375
1998-06-25,10.125,9.75,10.125,9.9375,16400,9.9375
1998-06-26,10.125,9.875,10.125,9.875,36300,9.875
1998-06-29,10.0,9.875,9.875,10.0,29300,10.0
1998-06-30,10.125,9.875,10.125,10.0,7700,10.0
