Date,High,Low,Open,Close,Volume,Adj Close
1987-07-09,9.875,9.875,9.875,9.875,1940000.0,0.7397664785385132
1987-07-10,9.875,9.875,9.875,9.875,350500.0,0.7397664785385132
1987-07-13,9.875,9.875,9.875,9.875,210100.0,0.7397664785385132
1987-07-14,9.875,9.875,9.875,9.875,106900.0,0.7397664785385132
1987-07-15,9.875,9.875,9.875,9.875,64000.0,0.7397664785385132
1987-07-16,10.0,9.875,9.875,9.875,75700.0,0.7397664785385132
1987-07-17,9.875,9.875,9.875,9.875,64900.0,0.7397664785385132
1987-07-20,9.875,9.75,9.875,9.875,114000.0,0.7397664785385132
1987-07-21,9.875,9.75,9.875,9.875,46300.0,0.7397664785385132
1987-07-22,9.875,9.75,9.75,9.75,34700.0,0.7304030656814575
1987-07-23,9.875,9.75,9.875,9.875,21300.0,0.7397664785385132
1987-07-24,9.875,9.75,9.875,9.75,19800.0,0.7304030656814575
1987-07-27,9.75,9.75,9.75,9.75,29600.0,0.7304030656814575
1987-07-28,9.75,9.625,9.75,9.75,48100.0,0.7304030656814575
1987-07-29,9.75,9.625,9.625,9.625,13500.0,0.721038818359375
1987-07-30,9.75,9.625,9.75,9.625,7700.0,0.721038818359375
1987-07-31,9.75,9.625,9.625,9.625,16100.0,0.721038818359375
1987-08-03,9.75,9.625,9.625,9.625,28300.0,0.721038818359375
1987-08-04,9.875,9.625,9.75,9.75,36800.0,0.7304030656814575
1987-08-05,9.875,9.75,9.75,9.875,18700.0,0.7397664785385132
1987-08-06,10.0,9.875,9.875,10.0,33900.0,0.749131441116333
1987-08-07,10.125,9.875,10.0,10.0,36200.0,0.749131441116333
1987-08-10,10.0,9.875,10.0,9.875,20000.0,0.7397664785385132
1987-08-11,10.0,9.75,9.875,9.875,28000.0,0.7451238632202148
1987-08-12,9.875,9.75,9.875,9.875,12400.0,0.7451238632202148
1987-08-13,10.0,9.75,9.875,9.75,11900.0,0.7356926202774048
1987-08-14,10.0,9.75,9.875,9.875,19100.0,0.7451238632202148
1987-08-17,10.0,9.75,10.0,9.75,30300.0,0.7356926202774048
1987-08-18,9.875,9.625,9.75,9.875,11000.0,0.7451238632202148
1987-08-19,9.875,9.75,9.875,9.75,28800.0,0.7356926202774048
1987-08-20,9.875,9.75,9.75,9.875,12600.0,0.7451238632202148
1987-08-21,9.875,9.625,9.875,9.75,14700.0,0.7356926202774048
1987-08-24,9.875,9.5,9.875,9.625,21500.0,0.7262605428695679
1987-08-25,9.75,9.375,9.625,9.625,14900.0,0.7262605428695679
1987-08-26,9.75,9.5,9.75,9.75,8500.0,0.7356926202774048
1987-08-27,9.875,9.5,9.75,9.625,18100.0,0.7262605428695679
1987-08-28,9.75,9.5,9.625,9.75,12500.0,0.7356926202774048
1987-08-31,9.75,9.625,9.625,9.625,4800.0,0.7262605428695679
1987-09-01,9.75,9.375,9.625,9.625,26700.0,0.7262605428695679
1987-09-02,9.625,9.5,9.5,9.625,8600.0,0.7262605428695679
1987-09-03,9.625,9.5,9.625,9.5,6800.0,0.7168288230895996
1987-09-04,9.625,9.5,9.625,9.625,10400.0,0.7262605428695679
1987-09-08,9.625,9.25,9.5,9.25,12600.0,0.6979648470878601
1987-09-09,9.375,9.25,9.25,9.25,6500.0,0.7033632397651672
1987-09-10,9.5,9.125,9.25,9.5,7100.0,0.7223737239837646
1987-09-11,9.5,9.125,9.375,9.5,14500.0,0.7223737239837646
1987-09-14,9.5,9.25,9.375,9.375,10800.0,0.7128689289093018
1987-09-15,9.5,9.375,9.5,9.375,4400.0,0.7128689289093018
1987-09-16,9.5,9.375,9.5,9.375,8000.0,0.7128689289093018
1987-09-17,9.25,9.0,9.25,9.0,29600.0,0.6843535900115967
1987-09-18,9.25,8.875,8.875,9.0,27700.0,0.6843535900115967
1987-09-21,9.0,8.875,8.875,8.875,4200.0,0.6748492121696472
1987-09-22,8.875,8.75,8.875,8.875,11400.0,0.6748492121696472
1987-09-23,8.875,8.75,8.875,8.875,4700.0,0.6748492121696472
1987-09-24,8.875,8.75,8.75,8.75,4700.0,0.6653439402580261
1987-09-25,9.0,8.75,8.75,8.875,8500.0,0.6748492121696472
1987-09-28,8.875,8.625,8.75,8.75,9200.0,0.6653439402580261
1987-09-29,8.875,8.5,8.875,8.625,13200.0,0.6558388471603394
1987-09-30,8.75,8.5,8.625,8.5,4200.0,0.6463342308998108
1987-10-01,8.625,8.375,8.5,8.375,21200.0,0.636829674243927
1987-10-02,8.625,8.375,8.5,8.625,20300.0,0.6558388471603394
1987-10-05,8.75,8.625,8.75,8.75,6000.0,0.6653439402580261
1987-10-06,8.75,8.5,8.625,8.625,11300.0,0.6558388471603394
1987-10-07,8.625,8.375,8.5,8.625,7500.0,0.6558388471603394
1987-10-08,8.625,8.375,8.375,8.375,10100.0,0.6421151757240295
1987-10-09,8.375,8.125,8.375,8.375,8300.0,0.6421151757240295
1987-10-12,8.375,8.0,8.25,8.0,38900.0,0.6133632659912109
1987-10-13,8.25,7.875,8.25,8.25,32600.0,0.6325312852859497
1987-10-14,8.125,8.0,8.125,8.0,12600.0,0.6133632659912109
1987-10-15,8.0,7.875,8.0,7.875,31600.0,0.6037797331809998
1987-10-16,8.0,7.875,8.0,7.875,24800.0,0.6037797331809998
1987-10-19,7.75,6.375,7.75,6.375,73900.0,0.48877397179603577
1987-10-20,6.75,6.125,6.125,6.75,65000.0,0.5175257325172424
1987-10-21,8.0,7.0,7.0,7.875,40500.0,0.6037797331809998
1987-10-22,7.625,7.125,7.625,7.25,28900.0,0.5558608174324036
1987-10-23,7.5,7.125,7.375,7.375,11500.0,0.5654445290565491
1987-10-26,7.125,6.625,7.125,6.625,41600.0,0.507941722869873
1987-10-27,7.125,6.75,6.875,6.875,25900.0,0.5271093249320984
1987-10-28,7.0,6.75,6.875,7.0,16300.0,0.5366929173469543
1987-10-29,7.125,6.625,6.75,7.125,26800.0,0.5462768077850342
1987-10-30,7.375,7.0,7.25,7.25,18100.0,0.5558608174324036
1987-11-02,7.625,7.25,7.25,7.375,18700.0,0.5654445290565491
1987-11-03,7.75,7.375,7.625,7.75,26700.0,0.5941956639289856
1987-11-04,8.0,7.25,7.625,7.875,28100.0,0.6037797331809998
1987-11-05,8.125,7.75,8.0,8.125,44800.0,0.6229474544525146
1987-11-06,8.0,7.75,8.0,7.875,17900.0,0.6037797331809998
1987-11-09,7.875,7.5,7.75,7.75,13600.0,0.5941956639289856
1987-11-10,7.875,7.375,7.5,7.75,27700.0,0.5941956639289856
1987-11-11,8.0,7.625,7.875,7.75,24800.0,0.5941956639289856
1987-11-12,7.875,7.5,7.625,7.75,19100.0,0.599689781665802
1987-11-13,7.75,7.625,7.75,7.75,7100.0,0.599689781665802
1987-11-16,8.125,7.625,8.0,7.75,27200.0,0.599689781665802
1987-11-17,7.875,7.5,7.5,7.75,23800.0,0.599689781665802
1987-11-18,7.875,7.625,7.75,7.75,15100.0,0.599689781665802
1987-11-19,8.0,7.75,7.75,8.0,26500.0,0.6190344095230103
1987-11-20,8.125,7.5,8.125,7.5,22600.0,0.5803452134132385
1987-11-23,7.75,7.5,7.625,7.625,18300.0,0.5900176167488098
1987-11-24,8.0,7.625,7.625,7.75,21000.0,0.599689781665802
1987-11-25,8.125,7.875,8.0,8.125,12300.0,0.6287074089050293
