Date,High,Low,Open,Close,Volume,Adj Close
1995-08-18,4.125,3.8125,3.8125,4.125,8200,4.125
1995-08-21,4.125,3.875,4.125,4.0,2200,4.0
1995-08-22,4.0,3.875,3.875,3.875,1000,3.875
1995-08-23,4.125,3.875,3.875,4.125,4200,4.125
1995-08-24,4.125,3.875,3.875,3.875,3600,3.875
1995-08-25,4.0,3.875,3.875,4.0,7900,4.0
1995-08-28,4.0,3.875,4.0,3.875,3200,3.875
1995-08-29,4.0,3.875,3.875,4.0,8400,4.0
1995-08-30,4.125,3.9375,4.0,4.0,11000,4.0
1995-08-31,4.0,3.875,4.0,4.0,7600,4.0
1995-09-01,4.0,4.0,4.0,4.0,9900,4.0
1995-09-05,4.25,3.9375,4.25,4.25,7200,4.25
1995-09-06,4.5,4.375,4.375,4.5,3500,4.5
1995-09-07,4.75,4.375,4.5,4.5,9600,4.5
1995-09-08,4.625,4.0,4.625,4.25,14800,4.25
1995-09-11,4.8125,4.5,4.625,4.6875,23600,4.6875
1995-09-12,4.625,4.375,4.5,4.5,14800,4.5
1995-09-13,4.75,4.375,4.75,4.625,6100,4.625
1995-09-14,5.0,4.5,4.625,5.0,22800,5.0
1995-09-15,5.25,4.625,5.0,5.0,52000,5.0
1995-09-18,5.875,5.125,5.375,5.25,84100,5.25
1995-09-19,5.75,5.25,5.5,5.375,20800,5.375
1995-09-20,5.625,5.0,5.625,5.0,12600,5.0
1995-09-21,5.375,5.0,5.125,5.375,8200,5.375
1995-09-22,5.625,5.125,5.125,5.375,9900,5.375
1995-09-25,5.625,5.375,5.5,5.5,13100,5.5
1995-09-26,5.5,5.25,5.5,5.25,6000,5.25
1995-09-27,5.625,5.25,5.25,5.25,6700,5.25
1995-09-28,5.625,5.25,5.5,5.25,4700,5.25
1995-09-29,5.625,5.25,5.625,5.25,1600,5.25
1995-10-02,5.625,5.25,5.25,5.625,1900,5.625
1995-10-03,5.625,5.25,5.625,5.625,5900,5.625
1995-10-04,5.625,5.625,5.625,5.625,600,5.625
1995-10-05,5.75,5.25,5.25,5.375,3500,5.375
1995-10-06,5.625,5.375,5.375,5.5,11700,5.5
1995-10-09,5.75,5.375,5.75,5.75,1600,5.75
1995-10-10,5.75,5.375,5.75,5.375,2300,5.375
1995-10-11,5.75,5.25,5.375,5.5625,11900,5.5625
1995-10-12,5.5625,5.0,5.5625,5.125,20100,5.125
1995-10-13,5.25,4.875,5.125,5.0,17800,5.0
1995-10-16,5.25,5.0,5.0,5.0,1200,5.0
1995-10-17,5.25,5.125,5.25,5.125,9800,5.125
1995-10-18,5.25,5.0,5.25,5.125,9600,5.125
1995-10-19,5.375,5.0,5.0,5.0,2000,5.0
1995-10-20,5.375,5.125,5.375,5.125,6200,5.125
1995-10-23,5.5,5.25,5.375,5.375,15300,5.375
1995-10-24,5.5,5.25,5.5,5.375,6700,5.375
1995-10-25,5.5,5.125,5.125,5.25,5200,5.25
1995-10-26,5.25,5.0,5.25,5.0,3100,5.0
1995-10-27,5.25,5.0,5.25,5.25,11500,5.25
1995-10-30,5.375,5.0,5.25,5.0,3800,5.0
1995-10-31,5.25,5.0,5.0,5.125,4600,5.125
1995-11-01,5.25,5.0,5.25,5.0,3500,5.0
1995-11-02,5.0,5.0,5.0,5.0,0,5.0
1995-11-03,5.375,5.0,5.375,5.0,4000,5.0
1995-11-06,5.25,5.0,5.0,5.0,4000,5.0
1995-11-07,5.25,4.875,4.875,5.0,3800,5.0
1995-11-08,5.25,4.875,5.25,5.125,4800,5.125
1995-11-09,5.125,5.125,5.125,5.125,0,5.125
1995-11-10,5.25,5.0,5.0,5.25,800,5.25
1995-11-13,5.25,5.0,5.25,5.125,7600,5.125
1995-11-14,5.125,4.75,4.875,4.875,19600,4.875
1995-11-15,5.0,4.75,5.0,4.75,6200,4.75
1995-11-16,5.0,4.625,5.0,5.0,1500,5.0
1995-11-17,5.0,4.625,4.625,5.0,2300,5.0
1995-11-20,5.0,4.6875,5.0,4.875,6700,4.875
1995-11-21,4.75,4.5,4.6875,4.5,9800,4.5
1995-11-22,4.8125,4.8125,4.8125,4.8125,2200,4.8125
1995-11-24,4.8125,4.75,4.8125,4.75,2500,4.75
1995-11-27,4.9375,4.625,4.625,4.75,3900,4.75
1995-11-28,4.75,4.75,4.75,4.75,200,4.75
1995-11-29,4.75,4.375,4.375,4.5,12600,4.5
1995-11-30,4.8125,4.5,4.8125,4.8125,6100,4.8125
1995-12-01,5.125,4.75,4.8125,4.875,13100,4.875
1995-12-04,5.0,4.875,4.875,4.875,4100,4.875
1995-12-05,5.1875,4.875,4.875,5.125,1100,5.125
1995-12-06,5.1875,4.9375,5.1875,5.1875,200,5.1875
1995-12-07,5.1875,5.1875,5.1875,5.1875,100,5.1875
1995-12-08,5.5,5.0,5.1875,5.125,12700,5.125
1995-12-11,4.9375,4.9375,4.9375,4.9375,2100,4.9375
1995-12-12,5.375,5.375,5.375,5.375,300,5.375
