Date,High,Low,Open,Close,Volume,Adj Close
1999-05-03,3.0625,2.875,3.0625,3.0,2800,3.0
1999-05-04,3.0625,2.8125,3.0,2.875,31500,2.875
1999-05-05,2.875,2.625,2.8125,2.625,35900,2.625
1999-05-06,2.875,2.75,2.75,2.8125,10400,2.8125
1999-05-07,3.0,2.75,2.75,3.0,33400,3.0
1999-05-10,3.5,2.9375,2.9375,3.5,12800,3.5
1999-05-11,3.625,3.34375,3.34375,3.375,15000,3.375
1999-05-12,3.625,3.40625,3.625,3.40625,2700,3.40625
1999-05-13,3.53125,3.25,3.53125,3.25,13500,3.25
1999-05-14,3.5,3.125,3.5,3.25,4600,3.25
1999-05-17,3.25,3.125,3.25,3.125,9200,3.125
1999-05-18,3.125,2.9375,3.0,3.0625,20200,3.0625
1999-05-19,3.125,3.125,3.125,3.125,1400,3.125
1999-05-20,3.25,3.0,3.09375,3.0,16200,3.0
1999-05-21,3.25,2.96875,3.25,3.0,9900,3.0
1999-05-24,3.0625,2.96875,2.96875,3.0625,12000,3.0625
1999-05-25,3.0625,3.0,3.0625,3.0,6000,3.0
1999-05-26,3.0,2.9375,3.0,3.0,5500,3.0
1999-05-27,3.0,2.9375,3.0,3.0,5300,3.0
1999-05-28,3.0,3.0,3.0,3.0,2000,3.0
1999-06-01,3.03125,2.90625,3.03125,2.90625,1700,2.90625
1999-06-02,2.921880006790161,2.875,2.90625,2.875,3000,2.875
1999-06-03,2.875,2.75,2.75,2.875,1300,2.875
1999-06-04,2.875,2.75,2.875,2.75,6300,2.75
1999-06-07,3.03125,2.875,2.875,3.03125,5200,3.03125
1999-06-08,3.03125,2.8125,2.9375,3.0,6900,3.0
1999-06-09,2.875,2.6875,2.8125,2.6875,6000,2.6875
1999-06-10,2.75,2.625,2.6875,2.75,2000,2.75
1999-06-11,2.875,2.625,2.875,2.625,2300,2.625
1999-06-14,2.875,2.625,2.625,2.625,3400,2.625
1999-06-15,2.625,2.625,2.625,2.625,0,2.625
1999-06-16,2.875,2.5,2.875,2.6875,7700,2.6875
1999-06-17,2.75,2.1875,2.6875,2.59375,63000,2.59375
1999-06-18,2.8125,2.5625,2.5625,2.8125,12400,2.8125
1999-06-21,2.78125,2.5,2.78125,2.78125,14800,2.78125
1999-06-22,2.8125,2.5625,2.78125,2.5625,14500,2.5625
1999-06-23,2.5625,2.5625,2.5625,2.5625,200,2.5625
1999-06-24,2.75,2.5625,2.5625,2.75,2500,2.75
1999-06-25,2.71875,2.5625,2.6875,2.5625,6500,2.5625
1999-06-28,2.5625,2.5625,2.5625,2.5625,3400,2.5625
1999-06-29,2.75,2.5625,2.625,2.75,12000,2.75
1999-06-30,3.0,2.5625,2.5625,2.875,11700,2.875
1999-07-01,3.0,2.6875,3.0,2.8125,12300,2.8125
1999-07-02,2.9375,2.875,2.9375,2.90625,5400,2.90625
1999-07-06,2.90625,2.75,2.90625,2.75,5700,2.75
1999-07-07,3.125,2.875,2.875,2.875,9500,2.875
1999-07-08,3.0,2.875,2.875,3.0,3600,3.0
1999-07-09,3.0,2.875,3.0,2.9375,8900,2.9375
1999-07-12,2.9375,2.75,2.9375,2.75,5700,2.75
1999-07-13,2.875,2.6875,2.6875,2.875,1400,2.875
1999-07-14,2.875,2.6875,2.6875,2.75,8400,2.75
1999-07-15,2.75,2.5,2.625,2.5,10300,2.5
1999-07-16,2.5625,2.5,2.5625,2.5,7400,2.5
1999-07-19,2.625,2.5,2.625,2.625,11600,2.625
1999-07-20,2.5625,2.4375,2.53125,2.4375,15200,2.4375
1999-07-21,2.5625,2.4375,2.5625,2.53125,14500,2.53125
