Date,High,Low,Open,Close,Volume,Adj Close
1995-08-18,31.75,30.5,30.5,31.75,500.0,8.47986125946045
1995-08-21,30.75,30.625,30.625,30.75,4000.0,8.212780952453613
1995-08-22,29.75,29.75,29.75,29.75,2100.0,7.945704460144043
1995-08-23,29.75,29.75,29.75,29.75,1600.0,7.945704460144043
1995-08-24,31.75,31.75,31.75,31.75,600.0,8.47986125946045
1995-08-25,31.75,30.75,30.75,31.75,400.0,8.47986125946045
1995-08-28,29.75,29.75,29.75,29.75,700.0,7.945704460144043
1995-08-29,31.75,29.75,30.25,30.25,17800.0,8.079244613647461
1995-08-30,30.75,30.0,30.75,30.0,14000.0,8.012474060058594
1995-08-31,29.75,29.75,29.75,29.75,100.0,7.945704460144043
1995-09-01,31.75,30.75,31.75,30.75,3000.0,8.212780952453613
1995-09-05,30.75,30.75,30.75,30.75,0.0,8.212780952453613
1995-09-06,31.0,29.75,29.75,30.25,7600.0,8.079244613647461
1995-09-07,31.0,31.0,31.0,31.0,500.0,8.27955436706543
1995-09-08,31.0,31.0,31.0,31.0,0.0,8.27955436706543
1995-09-11,30.375,29.75,29.75,30.375,10600.0,8.112627983093262
1995-09-12,30.375,30.375,30.375,30.375,0.0,8.112627983093262
1995-09-13,31.75,29.75,31.75,29.75,3400.0,7.945704460144043
1995-09-14,31.75,30.0,30.625,31.75,4200.0,8.47986125946045
1995-09-15,33.5,30.5,31.0,32.5,47600.0,8.68017578125
1995-09-18,32.5,32.25,32.5,32.5,3300.0,8.68017578125
1995-09-19,32.5,31.0,32.5,31.0,1400.0,8.27955436706543
1995-09-20,32.5,31.25,32.0,31.375,20700.0,8.379711151123047
1995-09-21,31.375,31.375,31.375,31.375,0.0,8.379711151123047
1995-09-22,32.5,31.0,31.0,31.5,700.0,8.41309642791748
1995-09-25,31.5,31.5,31.5,31.5,0.0,8.41309642791748
1995-09-26,31.5,31.5,31.5,31.5,0.0,8.41309642791748
1995-09-27,32.125,31.0,31.5,31.0,14700.0,8.27955436706543
1995-09-28,31.0,31.0,31.0,31.0,0.0,8.27955436706543
1995-09-29,33.0,31.25,31.25,33.0,5400.0,8.813715934753418
1995-10-02,31.25,31.25,31.25,31.25,1500.0,8.346327781677246
1995-10-03,32.5,32.5,32.5,32.5,900.0,8.73608684539795
1995-10-04,32.5,32.5,32.5,32.5,0.0,8.73608684539795
1995-10-05,32.5,31.375,31.375,32.234378814697266,90400.0,8.664690971374512
1995-10-06,32.0,32.0,32.0,32.0,1300.0,8.601685523986816
1995-10-09,32.5,32.375,32.5,32.375,4800.0,8.702488899230957
1995-10-10,33.5,33.5,33.5,33.5,400.0,9.004892349243164
1995-10-11,32.5,32.5,32.5,32.5,300.0,8.73608684539795
1995-10-12,32.625,31.5,31.5,32.375,29600.0,8.702488899230957
1995-10-13,34.25,33.75,34.25,34.0,5700.0,9.139293670654297
1995-10-16,33.25,33.25,33.25,33.25,1600.0,8.937692642211914
1995-10-17,33.5,33.25,33.25,33.25,1800.0,8.937692642211914
1995-10-18,33.125,32.5,33.0,33.0,4600.0,8.870487213134766
1995-10-19,34.5,32.5,34.5,32.5,600.0,8.73608684539795
1995-10-20,32.5,32.5,32.5,32.5,0.0,8.73608684539795
1995-10-23,32.0,32.0,32.0,32.0,300.0,8.601685523986816
1995-10-24,34.0,32.0,33.0,32.75,2500.0,8.803290367126465
1995-10-25,34.5,32.0,32.0,32.75,1100.0,8.803290367126465
1995-10-26,32.75,32.75,32.75,32.75,0.0,8.803290367126465
1995-10-27,32.75,32.25,32.25,32.75,400.0,8.803290367126465
1995-10-30,32.75,32.75,32.75,32.75,0.0,8.803290367126465
1995-10-31,34.5,32.5,34.5,32.75,8700.0,8.803290367126465
1995-11-01,32.75,32.5,32.5,32.75,8300.0,8.803290367126465
1995-11-02,32.75,32.5,32.5,32.75,93600.0,8.803290367126465
1995-11-03,32.75,32.75,32.75,32.75,0.0,8.803290367126465
1995-11-06,32.75,32.75,32.75,32.75,0.0,8.803290367126465
1995-11-07,34.0,34.0,34.0,34.0,100.0,9.139293670654297
1995-11-08,34.0,34.0,34.0,34.0,0.0,9.139293670654297
1995-11-09,34.0,34.0,34.0,34.0,100.0,9.139293670654297
1995-11-10,34.0,34.0,34.0,34.0,0.0,9.139293670654297
1995-11-13,34.0,34.0,34.0,34.0,0.0,9.139293670654297
1995-11-14,34.0,34.0,34.0,34.0,1000.0,9.139293670654297
1995-11-15,35.5,33.0,33.0,35.125,5700.0,9.441699028015137
1995-11-16,35.5,33.0,33.0,35.5,300.0,9.542497634887695
1995-11-17,35.5,33.0,33.0,35.5,1200.0,9.542497634887695
1995-11-20,35.5,33.25,33.25,35.5,1200.0,9.542497634887695
1995-11-21,35.5,35.5,35.5,35.5,300.0,9.542497634887695
1995-11-22,36.5,36.5,36.5,36.5,100.0,9.811302185058594
1995-11-24,36.5,36.5,36.5,36.5,0.0,9.811302185058594
1995-11-27,36.5,36.5,36.5,36.5,0.0,9.811302185058594
1995-11-28,36.5,36.5,36.5,36.5,0.0,9.811302185058594
1995-11-29,36.5,36.5,36.5,36.5,0.0,9.811302185058594
1995-11-30,36.5,36.5,36.5,36.5,0.0,9.811302185058594
1995-12-01,34.0,34.0,34.0,34.0,600.0,9.139293670654297
1995-12-04,34.0,34.0,34.0,34.0,0.0,9.139293670654297
1995-12-05,37.0,36.5,37.0,36.5,200.0,9.811302185058594
1995-12-06,36.5,36.5,36.5,36.5,0.0,9.811302185058594
1995-12-07,35.625,35.625,35.625,35.625,100.0,9.576095581054688
1995-12-08,37.0,34.25,34.25,35.75,11400.0,9.609695434570312
1995-12-11,38.5,36.5,36.5,37.3125,24200.0,10.029699325561523
1995-12-12,38.75,36.0,38.75,36.0,200.0,9.676898956298828
1995-12-13,38.75,38.75,38.75,38.75,200.0,10.416108131408691
1995-12-14,38.75,36.25,38.75,37.5,2300.0,10.080103874206543
1995-12-15,38.75,38.75,38.75,38.75,400.0,10.416108131408691
1995-12-18,37.5,36.5,37.5,36.5,1800.0,9.811302185058594
1995-12-19,39.25,37.25,37.875,38.0,12200.0,10.214505195617676
1995-12-20,38.0,36.75,38.0,36.75,3100.0,9.878500938415527
1995-12-21,36.75,36.75,36.75,36.75,0.0,9.878500938415527
1995-12-22,36.75,36.75,36.75,36.75,0.0,9.878500938415527
1995-12-26,36.75,36.75,36.75,36.75,0.0,9.878500938415527
1995-12-27,37.75,36.75,36.75,36.75,3600.0,9.878500938415527
1995-12-28,36.75,36.75,36.75,36.75,0.0,9.878500938415527
1995-12-29,38.5,37.0,38.5,38.5,2300.0,10.348905563354492
1996-01-02,38.5,36.75,38.5,36.75,1600.0,9.878500938415527
1996-01-03,39.0,39.0,39.0,39.0,400.0,10.483309745788574
1996-01-04,39.0,39.0,39.0,39.0,100.0,10.483309745788574
1996-01-05,39.0,36.875,36.875,39.0,20300.0,10.483309745788574
1996-01-08,39.0,39.0,39.0,39.0,0.0,10.483309745788574
1996-01-09,39.0,36.75,39.0,39.0,700.0,10.483309745788574
1996-01-10,36.8125,36.8125,36.8125,36.8125,100.0,9.895299911499023
1996-01-11,36.8125,36.8125,36.8125,36.8125,0.0,9.895299911499023
1996-01-12,39.0,39.0,39.0,39.0,400.0,10.483309745788574
1996-01-15,38.5,36.53125,36.53125,38.5,1400.0,10.348905563354492
1996-01-16,36.25,36.25,36.25,36.25,200.0,9.744100570678711
1996-01-17,38.5,38.5,38.5,38.5,200.0,10.348905563354492
1996-01-18,38.5,37.5,38.5,37.5,2600.0,10.080103874206543
1996-01-19,38.5,38.5,38.5,38.5,200.0,10.348905563354492
1996-01-22,37.0,37.0,37.0,37.0,800.0,9.94570255279541
1996-01-23,39.5,39.0,39.5,39.5,600.0,10.617705345153809
1996-01-24,39.5,39.5,39.5,39.5,400.0,10.617705345153809
1996-01-25,39.5,39.5,39.5,39.5,0.0,10.617705345153809
1996-01-26,39.5,39.5,39.5,39.5,0.0,10.617705345153809
1996-01-29,38.75,38.625,38.625,38.75,2000.0,10.416108131408691
1996-01-30,39.0,38.75,38.75,39.0,700.0,10.483309745788574
1996-01-31,39.0,38.0,39.0,39.0,800.0,10.483309745788574
1996-02-01,38.5,38.0,38.0,38.5,700.0,10.348905563354492
1996-02-02,38.5,38.5,38.5,38.5,0.0,10.348905563354492
1996-02-05,38.5,38.5,38.5,38.5,200.0,10.348905563354492
1996-02-06,38.5,38.5,38.5,38.5,0.0,10.348905563354492
1996-02-07,38.5,38.5,38.5,38.5,0.0,10.348905563354492
1996-02-08,38.5,38.0,38.0,38.5,500.0,10.348905563354492
1996-02-09,38.25,38.25,38.25,38.25,500.0,10.335391998291016
1996-02-12,38.25,38.25,38.25,38.25,200.0,10.335391998291016
1996-02-13,38.25,38.25,38.25,38.25,400.0,10.335391998291016
1996-02-14,40.5,39.0,39.0,40.5,200.0,10.943358421325684
1996-02-15,37.75,37.75,37.75,37.75,200.0,10.20029354095459
1996-02-16,37.75,37.75,37.75,37.75,200.0,10.20029354095459
1996-02-20,39.125,38.75,39.125,39.0,1300.0,10.538050651550293
1996-02-21,40.5,39.375,40.5,39.375,3600.0,10.639378547668457
1996-02-22,39.375,39.375,39.375,39.375,0.0,10.639378547668457
1996-02-23,39.375,39.375,39.375,39.375,0.0,10.639378547668457
1996-02-26,39.5,39.25,39.25,39.5,400.0,10.673150062561035
1996-02-27,39.0,37.0,39.0,37.0,900.0,9.997633934020996
1996-02-28,37.5,36.0,36.0,37.5,6100.0,10.132740020751953
1996-02-29,38.0,35.5,38.0,36.25,2200.0,9.79498291015625
1996-03-01,36.25,36.25,36.25,36.25,0.0,9.79498291015625
1996-03-04,35.25,35.25,35.25,35.25,100.0,9.524778366088867
1996-03-05,37.5,36.125,37.5,36.125,5300.0,9.76120662689209
1996-03-06,37.25,35.25,35.25,36.0,5400.0,9.72743034362793
1996-03-07,35.8125,35.8125,35.8125,35.8125,10100.0,9.676769256591797
1996-03-08,35.8125,35.8125,35.8125,35.8125,0.0,9.676769256591797
1996-03-11,35.8125,35.8125,35.8125,35.8125,0.0,9.676769256591797
1996-03-12,35.8125,35.8125,35.8125,35.8125,0.0,9.676769256591797
1996-03-13,37.0,35.25,35.25,37.0,200.0,9.997633934020996
1996-03-14,35.25,35.25,35.25,35.25,200.0,9.524778366088867
1996-03-15,36.75,35.25,35.25,36.75,200.0,9.930086135864258
1996-03-18,36.75,34.25,35.25,35.875,6000.0,9.693655014038086
1996-03-19,37.25,34.5,37.25,35.0,13900.0,9.457225799560547
1996-03-20,35.125,35.125,35.125,35.125,300.0,9.49100399017334
1996-03-21,36.375,34.75,36.25,35.5,14200.0,9.592323303222656
1996-03-22,37.75,35.25,37.75,37.0,1400.0,9.997633934020996
1996-03-25,37.75,35.5,35.5,37.375,3500.0,10.09896183013916
1996-03-26,38.25,36.25,36.25,38.25,3900.0,10.335391998291016
1996-03-27,37.25,36.25,36.5,36.25,3600.0,9.79498291015625
1996-03-28,38.75,35.25,38.75,35.25,6900.0,9.524778366088867
1996-03-29,35.5,35.0,35.5,35.0,1900.0,9.457225799560547
1996-04-01,36.25,36.25,36.25,36.25,1000.0,9.79498291015625
1996-04-02,37.5,34.0,35.5,34.0,2300.0,9.187021255493164
1996-04-03,36.75,35.375,36.75,35.375,7300.0,9.558552742004395
1996-04-04,35.25,34.0,35.25,34.0,5100.0,9.187021255493164
1996-04-08,36.5,35.25,35.25,36.5,3100.0,9.86253547668457
1996-04-09,36.5,34.0,36.5,34.0,600.0,9.187021255493164
1996-04-10,36.5,35.25,36.5,35.875,800.0,9.693655014038086
1996-04-11,35.875,35.875,35.875,35.875,0.0,9.693655014038086
1996-04-12,35.875,35.875,35.875,35.875,0.0,9.693655014038086
1996-04-15,35.25,33.75,35.25,34.0,1600.0,9.187021255493164
1996-04-16,35.0,32.5,35.0,33.0,13200.0,8.916810035705566
1996-04-17,34.5,33.0,34.5,33.5,15800.0,9.051915168762207
1996-04-18,33.5,33.5,33.5,33.5,0.0,9.051915168762207
1996-04-19,33.75,32.75,32.75,33.5,9300.0,9.051915168762207
1996-04-22,34.5,34.0,34.5,34.0,900.0,9.187021255493164
1996-04-23,34.5,33.0,34.5,34.5,5000.0,9.322124481201172
1996-04-24,34.625,34.625,34.625,34.625,1000.0,9.355894088745117
1996-04-25,34.625,34.625,34.625,34.625,0.0,9.355894088745117
1996-04-26,34.625,34.625,34.625,34.625,0.0,9.355894088745117
1996-04-29,34.625,34.625,34.625,34.625,0.0,9.355894088745117
1996-04-30,34.625,34.625,34.625,34.625,0.0,9.355894088745117
1996-05-01,34.625,34.625,34.625,34.625,0.0,9.355894088745117
1996-05-02,34.0,33.75,33.75,34.0,200.0,9.187021255493164
1996-05-03,34.0,33.75,33.75,34.0,1000.0,9.187021255493164
1996-05-06,36.75,33.75,33.75,35.0,1900.0,9.457225799560547
1996-05-07,36.75,36.75,36.75,36.75,100.0,9.930086135864258
1996-05-08,37.25,37.25,37.25,37.25,100.0,10.120264053344727
1996-05-09,37.25,37.25,37.25,37.25,0.0,10.174894332885742
1996-05-10,37.25,37.25,37.25,37.25,0.0,10.174894332885742
1996-05-13,37.25,35.875,37.25,35.875,1900.0,9.799311637878418
1996-05-14,37.25,36.0,37.25,36.0,1200.0,9.833456993103027
1996-05-15,37.25,36.75,37.25,36.75,4200.0,10.038322448730469
1996-05-16,36.75,36.0,36.0,36.75,600.0,10.038322448730469
1996-05-17,36.75,36.0,36.0,36.75,200.0,10.038322448730469
1996-05-20,36.75,36.75,36.75,36.75,0.0,10.038322448730469
1996-05-21,36.75,36.75,36.75,36.75,0.0,10.038322448730469
1996-05-22,36.75,36.75,36.75,36.75,0.0,10.038322448730469
1996-05-23,36.75,36.75,36.75,36.75,0.0,10.038322448730469
1996-05-24,38.75,36.0,38.75,36.0,200.0,9.833456993103027
1996-05-28,38.75,36.0,37.375,36.0,1500.0,9.833456993103027
1996-05-29,38.75,36.0,38.75,36.0,300.0,9.833456993103027
1996-05-30,36.0,36.0,36.0,36.0,0.0,9.833456993103027
1996-05-31,36.0,35.75,36.0,35.75,800.0,9.765168190002441
1996-06-03,35.75,35.75,35.75,35.75,0.0,9.765168190002441
1996-06-04,35.75,35.75,35.75,35.75,0.0,9.765168190002441
1996-06-05,35.75,35.75,35.75,35.75,0.0,9.765168190002441
1996-06-06,36.875,36.875,36.875,36.875,900.0,10.072464942932129
1996-06-07,36.5,36.5,36.5,36.5,100.0,9.970030784606934
1996-06-10,36.5,36.5,36.5,36.5,0.0,9.970030784606934
1996-06-11,36.875,36.875,36.875,36.875,3200.0,10.072464942932129
1996-06-12,36.875,36.875,36.875,36.875,100.0,10.072464942932129
1996-06-13,37.0,37.0,37.0,37.0,200.0,10.106607437133789
1996-06-14,37.0,37.0,37.0,37.0,0.0,10.106607437133789
1996-06-17,38.25,38.25,38.25,38.25,100.0,10.448042869567871
1996-06-18,36.875,35.5,35.5,36.875,600.0,10.072464942932129
1996-06-19,37.5,37.5,37.5,37.5,2700.0,10.24318790435791
1996-06-20,36.375,33.5,35.25,34.625,2000.0,9.457874298095703
1996-06-21,35.75,33.0,35.75,33.0,1100.0,9.014002799987793
1996-06-24,35.75,33.0,35.75,33.0,600.0,9.014002799987793
1996-06-25,33.5,30.5,33.0,33.25,11800.0,9.08228874206543
1996-06-26,33.25,31.875,33.25,33.25,10400.0,9.08228874206543
1996-06-27,34.75,32.5,34.25,33.5,4800.0,9.150575637817383
1996-06-28,36.0,33.5,35.0,34.0,8400.0,9.287152290344238
1996-07-01,36.25,35.125,36.25,36.25,5900.0,9.901741981506348
1996-07-02,35.0,34.0,35.0,34.0,1300.0,9.287152290344238
1996-07-03,37.0,34.25,36.25,37.0,3000.0,10.106607437133789
1996-07-05,34.5,34.5,34.5,34.5,1000.0,9.423730850219727
1996-07-08,37.25,36.0,36.0,37.25,200.0,10.174894332885742
1996-07-09,37.25,34.75,36.0,36.75,1500.0,10.038322448730469
1996-07-10,34.75,34.75,34.75,34.75,200.0,9.492016792297363
1996-07-11,36.0,34.75,36.0,34.75,700.0,9.492016792297363
